"","LOB","MC","ROB"
"Low_Prob_1",26.2292575836182,26.2292575836182,26.2292575836182
"Low_Prob_2",41750.16796875,41750.16796875,41750.16796875
"Low_Prob_3",NA,NA,NA
"Low_Prob_4",NA,NA,NA
"Med_Prob_1",292.023974225501,295.253297333024,2146.89218492797
"Med_Prob_2",2111.36580382558,1923.19754276734,6291.18086257889
"Med_Prob_3",NA,NA,NA
"Med_Prob_4",NA,NA,NA
"High_Prob_1",504.446883520521,498.740835333909,2866.75954186816
"High_Prob_2",1679.90763617163,1554.07869574763,5528.36592671012
"High_Prob_3",NA,NA,NA
"High_Prob_4",NA,NA,NA
