"","X","Node","Metric","No_of_Weeks","Species","Life_Stage","Low","Med","High","SuitabilityClass"
"1",3,"F300","MinTemp",11,"SAS","Adult",100,100,100,"High"
"2",7,"F319","MinTemp",6,"SAS","Adult",100,100,83.3333333333333,"High"
"3",11,"F34D","MinTemp",6,"SAS","Adult",100,100,100,"High"
"4",15,"F37B.Hard","MinTemp",15,"SAS","Adult",100,100,100,"High"
"5",19,"F37B.Soft","MinTemp",15,"SAS","Adult",100,100,100,"High"
"6",23,"F45B","MinTemp",19,"SAS","Adult",100,89.4736842105263,47.3684210526316,"Partial"
"7",27,"F57C","MinTemp",11,"SAS","Adult",100,100,100,"High"
"8",31,"GLEN","MinTemp",11,"SAS","Adult",100,100,100,"High"
"9",35,"LA_20_2","MinTemp",11,"SAS","Adult",100,100,18.1818181818182,"Partial"
"10",39,"LA11","MinTemp",11,"SAS","Adult",100,100,100,"High"
"11",43,"LA13","MinTemp",11,"SAS","Adult",100,100,100,"High"
"12",47,"LA14","MinTemp",11,"SAS","Adult",100,100,100,"High"
"13",51,"LA2","MinTemp",6,"SAS","Adult",100,100,83.3333333333333,"High"
"14",55,"LA20","MinTemp",11,"SAS","Adult",100,100,81.8181818181818,"High"
"15",59,"LA3","MinTemp",6,"SAS","Adult",100,100,100,"High"
"16",63,"LA8","MinTemp",6,"SAS","Adult",100,100,100,"High"
