"","X","Node","Metric","Species","Life_Stage","Node_Metric","No_of_Weeks","Suitable","Unsuitable","SuitabilityClass"
"1",1,"F300","MaxTemp","SAS","Fry","F300_MaxTemp",11,0,100,"Low"
"2",5,"F319","MaxTemp","SAS","Fry","F319_MaxTemp",6,0,100,"Low"
"3",9,"F34D","MaxTemp","SAS","Fry","F34D_MaxTemp",6,0,100,"Low"
"4",13,"F37B.Hard","MaxTemp","SAS","Fry","F37B.Hard_MaxTemp",15,46.6666666666667,53.3333333333333,"Partial"
"5",17,"F37B.Soft","MaxTemp","SAS","Fry","F37B.Soft_MaxTemp",15,66.6666666666667,33.3333333333333,"Partial"
"6",21,"F45B","MaxTemp","SAS","Fry","F45B_MaxTemp",19,10.5263157894737,89.4736842105263,"Low"
"7",25,"F57C","MaxTemp","SAS","Fry","F57C_MaxTemp",11,0,100,"Low"
"8",29,"GLEN","MaxTemp","SAS","Fry","GLEN_MaxTemp",11,0,100,"Low"
"9",33,"LA_20_2","MaxTemp","SAS","Fry","LA_20_2_MaxTemp",11,0,100,"Low"
"10",37,"LA11","MaxTemp","SAS","Fry","LA11_MaxTemp",11,0,100,"Low"
"11",41,"LA13","MaxTemp","SAS","Fry","LA13_MaxTemp",11,0,100,"Low"
"12",45,"LA14","MaxTemp","SAS","Fry","LA14_MaxTemp",11,0,100,"Low"
"13",49,"LA2","MaxTemp","SAS","Fry","LA2_MaxTemp",6,0,100,"Low"
"14",53,"LA20","MaxTemp","SAS","Fry","LA20_MaxTemp",11,0,100,"Low"
"15",57,"LA3","MaxTemp","SAS","Fry","LA3_MaxTemp",6,0,100,"Low"
"16",61,"LA8","MaxTemp","SAS","Fry","LA8_MaxTemp",6,0,100,"Low"
