"","X","Node","Metric","Species","Life_Stage","Node_Metric","No_of_Weeks","Suitable","Unsuitable","SuitabilityClass"
"1",1,"F300","MaxTemp","Cladophora","Adult","F300_MaxTemp",11,100,0,"High"
"2",5,"F319","MaxTemp","Cladophora","Adult","F319_MaxTemp",6,100,0,"High"
"3",9,"F34D","MaxTemp","Cladophora","Adult","F34D_MaxTemp",6,100,0,"High"
"4",13,"F37B.Hard","MaxTemp","Cladophora","Adult","F37B.Hard_MaxTemp",15,100,0,"High"
"5",17,"F37B.Soft","MaxTemp","Cladophora","Adult","F37B.Soft_MaxTemp",15,100,0,"High"
"6",21,"F45B","MaxTemp","Cladophora","Adult","F45B_MaxTemp",19,100,0,"High"
"7",25,"F57C","MaxTemp","Cladophora","Adult","F57C_MaxTemp",11,100,0,"High"
"8",29,"GLEN","MaxTemp","Cladophora","Adult","GLEN_MaxTemp",11,100,0,"High"
"9",33,"LA_20_2","MaxTemp","Cladophora","Adult","LA_20_2_MaxTemp",11,100,0,"High"
"10",37,"LA11","MaxTemp","Cladophora","Adult","LA11_MaxTemp",11,100,0,"High"
"11",41,"LA13","MaxTemp","Cladophora","Adult","LA13_MaxTemp",11,100,0,"High"
"12",45,"LA14","MaxTemp","Cladophora","Adult","LA14_MaxTemp",11,100,0,"High"
"13",49,"LA2","MaxTemp","Cladophora","Adult","LA2_MaxTemp",6,100,0,"High"
"14",53,"LA20","MaxTemp","Cladophora","Adult","LA20_MaxTemp",11,100,0,"High"
"15",57,"LA3","MaxTemp","Cladophora","Adult","LA3_MaxTemp",6,100,0,"High"
"16",61,"LA8","MaxTemp","Cladophora","Adult","LA8_MaxTemp",6,100,0,"High"
