"","LOB","MC","ROB"
"Low_Prob_1",61.8137588500977,61.8137588500977,61.8137588500977
"Low_Prob_2",47491.04296875,47491.04296875,47491.04296875
"Low_Prob_3",NA,NA,NA
"Low_Prob_4",NA,NA,NA
"Med_Prob_1",175.125387231189,296.352410532285,175.125387231189
"Med_Prob_2",819.915391404626,NA,819.915391404626
"Med_Prob_3",NA,NA,NA
"Med_Prob_4",NA,NA,NA
"High_Prob_1",260.281042806876,213.969955626315,260.281042806876
"High_Prob_2",675.512374744853,NA,675.512374744853
"High_Prob_3",NA,NA,NA
"High_Prob_4",NA,NA,NA
