"","LOB","MC","ROB"
"Low_Prob_1",0.0683905631303787,0.0683905631303787,0.0683905631303787
"Low_Prob_2",35384.0078125,35384.0078125,35384.0078125
"Low_Prob_3",NA,NA,NA
"Low_Prob_4",NA,NA,NA
"Med_Prob_1",450.234527049808,28.8755853021411,450.234527049808
"Med_Prob_2",2472.30219982193,250.601803866873,2472.30219982193
"Med_Prob_3",NA,NA,NA
"Med_Prob_4",NA,NA,NA
"High_Prob_1",729.640241013121,51.5772868949312,729.640241013121
"High_Prob_2",2042.66856332014,193.128200472053,2042.66856332014
"High_Prob_3",NA,NA,NA
"High_Prob_4",NA,NA,NA
