"","year","position","Time_Period","value"
"1",2010,"MC","Annual",99.7281377435433
"2",2011,"MC","Annual",99.7146118721461
"3",2012,"MC","Annual",99.9203096539162
"4",2013,"MC","Annual",99.9771689497717
"5",2014,"MC","Annual",99.8059360730594
"6",2015,"MC","Annual",100
"7",2016,"MC","Annual",99.8292349726776
"8",2017,"MC","Annual",99.7557997557998
"9",2010,"LOB","Annual",100
"10",2011,"LOB","Annual",99.9885844748858
"11",2012,"LOB","Annual",100
"12",2013,"LOB","Annual",100
"13",2014,"LOB","Annual",100
"14",2015,"LOB","Annual",100
"15",2016,"LOB","Annual",100
"16",2017,"LOB","Annual",99.9847374847375
"17",2010,"ROB","Annual",100
"18",2011,"ROB","Annual",100
"19",2012,"ROB","Annual",100
"20",2013,"ROB","Annual",100
"21",2014,"ROB","Annual",100
"22",2015,"ROB","Annual",100
"23",2016,"ROB","Annual",100
"24",2017,"ROB","Annual",100
"25",2010,"MC","non_critical",99.8632946001367
"26",2011,"MC","non_critical",99.8638344226579
"27",2012,"MC","non_critical",100
"28",2013,"MC","non_critical",100
"29",2014,"MC","non_critical",100
"30",2015,"MC","non_critical",100
"31",2016,"MC","non_critical",100
"32",2017,"MC","non_critical",100
"33",2010,"LOB","non_critical",100
"34",2011,"LOB","non_critical",100
"35",2012,"LOB","non_critical",100
"36",2013,"LOB","non_critical",100
"37",2014,"LOB","non_critical",100
"38",2015,"LOB","non_critical",100
"39",2016,"LOB","non_critical",100
"40",2017,"LOB","non_critical",100
"41",2010,"ROB","non_critical",100
"42",2011,"ROB","non_critical",100
"43",2012,"ROB","non_critical",100
"44",2013,"ROB","non_critical",100
"45",2014,"ROB","non_critical",100
"46",2015,"ROB","non_critical",100
"47",2016,"ROB","non_critical",100
"48",2017,"ROB","non_critical",100
"49",2010,"MC","critical",99.4623655913979
"50",2011,"MC","critical",99.6069182389937
"51",2012,"MC","critical",99.8630672926448
"52",2013,"MC","critical",99.9606918238994
"53",2014,"MC","critical",99.6658805031446
"54",2015,"MC","critical",100
"55",2016,"MC","critical",99.7065727699531
"56",2017,"MC","critical",99.6316758747698
"57",2010,"LOB","critical",100
"58",2011,"LOB","critical",99.9803459119497
"59",2012,"LOB","critical",100
"60",2013,"LOB","critical",100
"61",2014,"LOB","critical",100
"62",2015,"LOB","critical",100
"63",2016,"LOB","critical",100
"64",2017,"LOB","critical",99.9769797421731
"65",2010,"ROB","critical",100
"66",2011,"ROB","critical",100
"67",2012,"ROB","critical",100
"68",2013,"ROB","critical",100
"69",2014,"ROB","critical",100
"70",2015,"ROB","critical",100
"71",2016,"ROB","critical",100
"72",2017,"ROB","critical",100
