"","LOB","MC","ROB"
"Low_Prob_1",291.734513833747,67.1358793626801,559.169916687991
"Low_Prob_2",963.348166457158,NA,5004.00604088921
"Low_Prob_3",NA,NA,NA
"Low_Prob_4",NA,NA,NA
"Med_Prob_1",334.196128352596,28.7055069689096,689.076597006241
"Med_Prob_2",691.169124590906,NA,2378.09067835884
"Med_Prob_3",NA,NA,4641.88091646946
"Med_Prob_4",NA,NA,4998.49621583303
"High_Prob_1",377.733712182016,NA,826.470535945057
"High_Prob_2",500.666865575486,NA,1738.6628590977
"High_Prob_3",NA,NA,NA
"High_Prob_4",NA,NA,NA
