"","X","Node","Metric","Species","Life_Stage","Node_Metric","No_of_Weeks","Suitable","Unsuitable","SuitabilityClass"
"1",1,"F300","MaxTemp","Typha","Germination","F300_MaxTemp",11,0,100,"Low"
"2",5,"F319","MaxTemp","Typha","Germination","F319_MaxTemp",6,0,100,"Low"
"3",9,"F34D","MaxTemp","Typha","Germination","F34D_MaxTemp",6,0,100,"Low"
"4",13,"F37B.Hard","MaxTemp","Typha","Germination","F37B.Hard_MaxTemp",15,100,0,"High"
"5",17,"F37B.Soft","MaxTemp","Typha","Germination","F37B.Soft_MaxTemp",15,100,0,"High"
"6",21,"F45B","MaxTemp","Typha","Germination","F45B_MaxTemp",19,89.4736842105263,10.5263157894737,"High"
"7",25,"F57C","MaxTemp","Typha","Germination","F57C_MaxTemp",11,0,100,"Low"
"8",29,"GLEN","MaxTemp","Typha","Germination","GLEN_MaxTemp",11,0,100,"Low"
"9",33,"LA_20_2","MaxTemp","Typha","Germination","LA_20_2_MaxTemp",11,63.6363636363636,36.3636363636364,"Partial"
"10",37,"LA11","MaxTemp","Typha","Germination","LA11_MaxTemp",11,0,100,"Low"
"11",41,"LA13","MaxTemp","Typha","Germination","LA13_MaxTemp",11,0,100,"Low"
"12",45,"LA14","MaxTemp","Typha","Germination","LA14_MaxTemp",11,0,100,"Low"
"13",49,"LA2","MaxTemp","Typha","Germination","LA2_MaxTemp",6,0,100,"Low"
"14",53,"LA20","MaxTemp","Typha","Germination","LA20_MaxTemp",11,100,0,"High"
"15",57,"LA3","MaxTemp","Typha","Germination","LA3_MaxTemp",6,0,100,"Low"
"16",61,"LA8","MaxTemp","Typha","Germination","LA8_MaxTemp",6,0,100,"Low"
