"","LOB","MC","ROB"
"Low_Prob_1",61.8137588500977,61.8137588500977,61.8137588500977
"Low_Prob_2",47491.04296875,47491.04296875,47491.04296875
"Low_Prob_3",NA,NA,NA
"Low_Prob_4",NA,NA,NA
"Med_Prob_1",227.253311155385,487.49933691022,227.253311155385
"Med_Prob_2",1129.43723728947,NA,1129.43723728947
"Med_Prob_3",NA,NA,NA
"Med_Prob_4",NA,NA,NA
"High_Prob_1",344.392433364111,359.625222592283,344.392433364111
"High_Prob_2",925.408819997993,NA,925.408819997993
"High_Prob_3",NA,NA,NA
"High_Prob_4",NA,NA,NA
