"","Node","sp_code","Check_Class2","TimePeriod"
"1","11101250","Cladophora_Adult","Low","critical"
"2","F300","Cladophora_Adult","High","critical"
"3","F319","Cladophora_Adult","High","critical"
"4","F34D","Cladophora_Adult","High","critical"
"5","F37B_High","Cladophora_Adult","Low","critical"
"6","F37B_Low","Cladophora_Adult","Low","critical"
"7","F45B","Cladophora_Adult","Low","critical"
"8","F57C","Cladophora_Adult","High","critical"
"9","GLEN","Cladophora_Adult","High","critical"
"10","LA1","Cladophora_Adult","Low","critical"
"11","LA11","Cladophora_Adult","High","critical"
"12","LA13","Cladophora_Adult","Low","critical"
"13","LA14","Cladophora_Adult","High","critical"
"14","LA2","Cladophora_Adult","Low","critical"
"15","LA20_2","Cladophora_Adult","High","critical"
"16","LA3","Cladophora_Adult","Low","critical"
"17","LA8","Cladophora_Adult","High","critical"
"18","11101250","Steelhead_Migration","Low","critical"
"19","F300","Steelhead_Migration","High","critical"
"20","F319","Steelhead_Migration","High","critical"
"21","F34D","Steelhead_Migration","High","critical"
"22","F37B_High","Steelhead_Migration","Low","critical"
"23","F37B_Low","Steelhead_Migration","Low","critical"
"24","F45B","Steelhead_Migration","Low","critical"
"25","F57C","Steelhead_Migration","High","critical"
"26","GLEN","Steelhead_Migration","High","critical"
"27","LA1","Steelhead_Migration","High","critical"
"28","LA11","Steelhead_Migration","High","critical"
"29","LA13","Steelhead_Migration","High","critical"
"30","LA14","Steelhead_Migration","High","critical"
"31","LA2","Steelhead_Migration","High","critical"
"32","LA20_2","Steelhead_Migration","High","critical"
"33","LA3","Steelhead_Migration","High","critical"
"34","LA8","Steelhead_Migration","High","critical"
"35","11101250","SAS_Adult","Low","Annual"
"36","F300","SAS_Adult","High","Annual"
"37","F319","SAS_Adult","High","Annual"
"38","F34D","SAS_Adult","High","Annual"
"39","F37B_High","SAS_Adult","Low","Annual"
"40","F37B_Low","SAS_Adult","Low","Annual"
"41","F45B","SAS_Adult","Low","Annual"
"42","F57C","SAS_Adult","Low","Annual"
"43","GLEN","SAS_Adult","High","Annual"
"44","LA1","SAS_Adult","Low","Annual"
"45","LA11","SAS_Adult","Low","Annual"
"46","LA13","SAS_Adult","Low","Annual"
"47","LA2","SAS_Adult","Low","Annual"
"48","LA20_2","SAS_Adult","High","Annual"
"49","LA8","SAS_Adult","High","Annual"
