"","Node","Species","Life_Stage","MinTemp","MaxTemp","MeanTemp"
"1","F300","Cladophora","Adult","High","Low","High"
"2","F319","Cladophora","Adult","High","Low","High"
"3","F34D","Cladophora","Adult","High","Low","High"
"4","F37B.Hard","Cladophora","Adult","High","High","High"
"5","F37B.Soft","Cladophora","Adult","High","High","High"
"6","F45B","Cladophora","Adult","Partial","High","High"
"7","F57C","Cladophora","Adult","High","Low","High"
"8","GLEN","Cladophora","Adult","High","Low","High"
"9","LA_20_2","Cladophora","Adult","High","Partial","High"
"10","LA11","Cladophora","Adult","High","Low","High"
"11","LA13","Cladophora","Adult","High","Low","High"
"12","LA14","Cladophora","Adult","High","Low","High"
"13","LA2","Cladophora","Adult","High","Low","High"
"14","LA20","Cladophora","Adult","High","High","High"
"15","LA3","Cladophora","Adult","High","Low","High"
"16","LA8","Cladophora","Adult","High","Low","High"
"17","F300","SAS","Adult","High","Low","Partial"
"18","F319","SAS","Adult","High","Low","Partial"
"19","F34D","SAS","Adult","High","Low","Partial"
"20","F37B.Hard","SAS","Adult","High","Partial","High"
"21","F37B.Soft","SAS","Adult","High","Partial","High"
"22","F45B","SAS","Adult","Partial","Partial","High"
"23","F57C","SAS","Adult","High","Low","Partial"
"24","GLEN","SAS","Adult","High","Low","Partial"
"25","LA_20_2","SAS","Adult","Partial","Partial","Partial"
"26","LA11","SAS","Adult","High","Low","Partial"
"27","LA13","SAS","Adult","High","Low","Partial"
"28","LA14","SAS","Adult","High","Low","Partial"
"29","LA2","SAS","Adult","High","Low","Partial"
"30","LA20","SAS","Adult","High","Partial","Partial"
"31","LA3","SAS","Adult","High","Low","Partial"
"32","LA8","SAS","Adult","High","Low","Partial"
"33","F300","SAS","Fry","High","Low","Low"
"34","F319","SAS","Fry","High","Low","Low"
"35","F34D","SAS","Fry","High","Low","Low"
"36","F37B.Hard","SAS","Fry","High","Partial","High"
"37","F37B.Soft","SAS","Fry","High","Partial","High"
"38","F45B","SAS","Fry","High","Low","High"
"39","F57C","SAS","Fry","High","Low","Partial"
"40","GLEN","SAS","Fry","High","Low","Partial"
"41","LA_20_2","SAS","Fry","Low","Low","Low"
"42","LA11","SAS","Fry","High","Low","Partial"
"43","LA13","SAS","Fry","High","Low","Partial"
"44","LA14","SAS","Fry","High","Low","Partial"
"45","LA2","SAS","Fry","High","Low","Low"
"46","LA20","SAS","Fry","Partial","Low","Partial"
"47","LA3","SAS","Fry","High","Low","Low"
"48","LA8","SAS","Fry","High","Low","Low"
"49","F300","SAS","Juvenile","High","Low","Partial"
"50","F319","SAS","Juvenile","High","Low","Partial"
"51","F34D","SAS","Juvenile","High","Low","Partial"
"52","F37B.Hard","SAS","Juvenile","High","Partial","High"
"53","F37B.Soft","SAS","Juvenile","High","Partial","High"
"54","F45B","SAS","Juvenile","High","Partial","High"
"55","F57C","SAS","Juvenile","High","Low","Partial"
"56","GLEN","SAS","Juvenile","High","Low","Partial"
"57","LA_20_2","SAS","Juvenile","Partial","Low","Partial"
"58","LA11","SAS","Juvenile","High","Low","Partial"
"59","LA13","SAS","Juvenile","High","Low","Partial"
"60","LA14","SAS","Juvenile","High","Low","Partial"
"61","LA2","SAS","Juvenile","High","Low","Partial"
"62","LA20","SAS","Juvenile","Partial","Partial","Partial"
"63","LA3","SAS","Juvenile","High","Low","Partial"
"64","LA8","SAS","Juvenile","Partial","Low","Partial"
"65","F300","Steelhead","Migration","Low","Low","Low"
"66","F319","Steelhead","Migration","Low","Low","Low"
"67","F34D","Steelhead","Migration","Low","Low","Low"
"68","F37B.Hard","Steelhead","Migration","Low","Low","Low"
"69","F37B.Soft","Steelhead","Migration","Low","Low","Low"
"70","F45B","Steelhead","Migration","Low","Low","Low"
"71","F57C","Steelhead","Migration","Low","Low","Low"
"72","GLEN","Steelhead","Migration","Low","Low","Low"
"73","LA_20_2","Steelhead","Migration","Low","Low","Low"
"74","LA11","Steelhead","Migration","Low","Low","Low"
"75","LA13","Steelhead","Migration","Low","Low","Low"
"76","LA14","Steelhead","Migration","Low","Low","Low"
"77","LA2","Steelhead","Migration","Low","Low","Low"
"78","LA20","Steelhead","Migration","Low","Low","Low"
"79","LA3","Steelhead","Migration","Low","Low","Low"
"80","LA8","Steelhead","Migration","Low","Low","Low"
"81","F300","Steelhead","Smolts","Low","Low","Low"
"82","F319","Steelhead","Smolts","Low","Low","Low"
"83","F34D","Steelhead","Smolts","Low","Low","Low"
"84","F37B.Hard","Steelhead","Smolts","Low","Low","Low"
"85","F37B.Soft","Steelhead","Smolts","Low","Low","Low"
"86","F45B","Steelhead","Smolts","Low","Low","Low"
"87","F57C","Steelhead","Smolts","Low","Low","Low"
"88","GLEN","Steelhead","Smolts","Low","Low","Low"
"89","LA_20_2","Steelhead","Smolts","Low","Low","Low"
"90","LA11","Steelhead","Smolts","Low","Low","Low"
"91","LA13","Steelhead","Smolts","Low","Low","Low"
"92","LA14","Steelhead","Smolts","Low","Low","Low"
"93","LA2","Steelhead","Smolts","Low","Low","Low"
"94","LA20","Steelhead","Smolts","Low","Low","Low"
"95","LA3","Steelhead","Smolts","Low","Low","Low"
"96","LA8","Steelhead","Smolts","Low","Low","Low"
"97","F300","Typha","Germination","Partial","Low","High"
"98","F319","Typha","Germination","Partial","Low","High"
"99","F34D","Typha","Germination","Partial","Low","High"
"100","F37B.Hard","Typha","Germination","Partial","High","High"
"101","F37B.Soft","Typha","Germination","Partial","High","High"
"102","F45B","Typha","Germination","Low","High","Partial"
"103","F57C","Typha","Germination","Low","Low","High"
"104","GLEN","Typha","Germination","Low","Low","High"
"105","LA_20_2","Typha","Germination","High","Partial","High"
"106","LA11","Typha","Germination","Low","Low","High"
