"","X","Node","Metric","Species","Life_Stage","Node_Metric","No_of_Weeks","Suitable","Unsuitable","SuitabilityClass"
"1",4,"F300","MeanTemp","Typha","Germination","F300_MeanTemp",11,100,0,"High"
"2",8,"F319","MeanTemp","Typha","Germination","F319_MeanTemp",6,100,0,"High"
"3",12,"F34D","MeanTemp","Typha","Germination","F34D_MeanTemp",6,100,0,"High"
"4",16,"F37B.Hard","MeanTemp","Typha","Germination","F37B.Hard_MeanTemp",15,80,20,"High"
"5",20,"F37B.Soft","MeanTemp","Typha","Germination","F37B.Soft_MeanTemp",15,86.6666666666667,13.3333333333333,"High"
"6",24,"F45B","MeanTemp","Typha","Germination","F45B_MeanTemp",19,31.5789473684211,68.4210526315789,"Partial"
"7",28,"F57C","MeanTemp","Typha","Germination","F57C_MeanTemp",11,100,0,"High"
"8",32,"GLEN","MeanTemp","Typha","Germination","GLEN_MeanTemp",11,100,0,"High"
"9",36,"LA_20_2","MeanTemp","Typha","Germination","LA_20_2_MeanTemp",11,100,0,"High"
"10",40,"LA11","MeanTemp","Typha","Germination","LA11_MeanTemp",11,100,0,"High"
"11",44,"LA13","MeanTemp","Typha","Germination","LA13_MeanTemp",11,100,0,"High"
"12",48,"LA14","MeanTemp","Typha","Germination","LA14_MeanTemp",11,100,0,"High"
"13",52,"LA2","MeanTemp","Typha","Germination","LA2_MeanTemp",6,100,0,"High"
"14",56,"LA20","MeanTemp","Typha","Germination","LA20_MeanTemp",11,100,0,"High"
"15",60,"LA3","MeanTemp","Typha","Germination","LA3_MeanTemp",6,100,0,"High"
"16",64,"LA8","MeanTemp","Typha","Germination","LA8_MeanTemp",6,100,0,"High"
