"","LOB","MC","ROB"
"Low_Prob_1",0.0683905631303787,0.0683905631303787,0.0683905631303787
"Low_Prob_2",35384.0078125,35384.0078125,35384.0078125
"Low_Prob_3",NA,NA,NA
"Low_Prob_4",NA,NA,NA
"Med_Prob_1",326.562828025844,19.8427555235122,326.562828025844
"Med_Prob_2",1814.59689020288,164.770154567561,1814.59689020288
"Med_Prob_3",NA,NA,NA
"Med_Prob_4",NA,NA,NA
"High_Prob_1",529.080850667621,34.9736781205061,529.080850667621
"High_Prob_2",1495.18441524174,127.633281318459,1495.18441524174
"High_Prob_3",NA,NA,NA
"High_Prob_4",NA,NA,NA
