"","month_year","year","month","season","position","Annual","n_days"
"1",2011-01-01,2011,1,"critical","LOB","days_per_month",0
"2",2011-01-01,2011,1,"critical","MC","days_per_month",0
"3",2011-01-01,2011,1,"critical","ROB","days_per_month",0
"4",2012-01-01,2012,1,"critical","LOB","days_per_month",0
"5",2012-01-01,2012,1,"critical","MC","days_per_month",0
"6",2012-01-01,2012,1,"critical","ROB","days_per_month",0
"7",2013-01-01,2013,1,"critical","LOB","days_per_month",0
"8",2013-01-01,2013,1,"critical","MC","days_per_month",0
"9",2013-01-01,2013,1,"critical","ROB","days_per_month",0
"10",2014-01-01,2014,1,"critical","LOB","days_per_month",0
"11",2014-01-01,2014,1,"critical","MC","days_per_month",0
"12",2014-01-01,2014,1,"critical","ROB","days_per_month",0
"13",2015-01-01,2015,1,"critical","LOB","days_per_month",0
"14",2015-01-01,2015,1,"critical","MC","days_per_month",0
"15",2015-01-01,2015,1,"critical","ROB","days_per_month",0
"16",2016-01-01,2016,1,"critical","LOB","days_per_month",0
"17",2016-01-01,2016,1,"critical","MC","days_per_month",0
"18",2016-01-01,2016,1,"critical","ROB","days_per_month",0
"19",2017-01-01,2017,1,"critical","LOB","days_per_month",0
"20",2017-01-01,2017,1,"critical","MC","days_per_month",0
"21",2017-01-01,2017,1,"critical","ROB","days_per_month",0
"22",2011-02-01,2011,2,"critical","LOB","days_per_month",0
"23",2011-02-01,2011,2,"critical","MC","days_per_month",1
"24",2011-02-01,2011,2,"critical","ROB","days_per_month",0
"25",2012-02-01,2012,2,"critical","LOB","days_per_month",0
"26",2012-02-01,2012,2,"critical","MC","days_per_month",0
"27",2012-02-01,2012,2,"critical","ROB","days_per_month",0
"28",2013-02-01,2013,2,"critical","LOB","days_per_month",0
"29",2013-02-01,2013,2,"critical","MC","days_per_month",0
"30",2013-02-01,2013,2,"critical","ROB","days_per_month",0
"31",2014-02-01,2014,2,"critical","LOB","days_per_month",1
"32",2014-02-01,2014,2,"critical","MC","days_per_month",1
