"","X","Node","Metric","No_of_Weeks","Species","Life_Stage","Low","Med","High","SuitabilityClass"
"1",4,"F300","MeanTemp",11,"SAS","Adult",100,90.9090909090909,9.09090909090909,"Partial"
"2",8,"F319","MeanTemp",6,"SAS","Adult",100,83.3333333333333,0,"Partial"
"3",12,"F34D","MeanTemp",6,"SAS","Adult",100,66.6666666666667,16.6666666666667,"Partial"
"4",16,"F37B.Hard","MeanTemp",15,"SAS","Adult",100,100,100,"High"
"5",20,"F37B.Soft","MeanTemp",15,"SAS","Adult",100,100,100,"High"
"6",24,"F45B","MeanTemp",19,"SAS","Adult",100,100,100,"High"
"7",28,"F57C","MeanTemp",11,"SAS","Adult",100,90.9090909090909,27.2727272727273,"Partial"
"8",32,"GLEN","MeanTemp",11,"SAS","Adult",100,90.9090909090909,36.3636363636364,"Partial"
"9",36,"LA_20_2","MeanTemp",11,"SAS","Adult",100,18.1818181818182,0,"Partial"
"10",40,"LA11","MeanTemp",11,"SAS","Adult",100,90.9090909090909,36.3636363636364,"Partial"
"11",44,"LA13","MeanTemp",11,"SAS","Adult",100,90.9090909090909,36.3636363636364,"Partial"
"12",48,"LA14","MeanTemp",11,"SAS","Adult",100,90.9090909090909,45.4545454545455,"Partial"
"13",52,"LA2","MeanTemp",6,"SAS","Adult",100,83.3333333333333,0,"Partial"
"14",56,"LA20","MeanTemp",11,"SAS","Adult",100,90.9090909090909,45.4545454545455,"Partial"
"15",60,"LA3","MeanTemp",6,"SAS","Adult",100,83.3333333333333,0,"Partial"
"16",64,"LA8","MeanTemp",6,"SAS","Adult",100,66.6666666666667,16.6666666666667,"Partial"
