"","X","Node","Metric","Species","Life_Stage","Node_Metric","No_of_Weeks","Suitable","Unsuitable","SuitabilityClass"
"1",4,"F300","MeanTemp","Steelhead","Migration","F300_MeanTemp",11,0,100,"Low"
"2",8,"F319","MeanTemp","Steelhead","Migration","F319_MeanTemp",6,0,100,"Low"
"3",12,"F34D","MeanTemp","Steelhead","Migration","F34D_MeanTemp",6,0,100,"Low"
"4",16,"F37B.Hard","MeanTemp","Steelhead","Migration","F37B.Hard_MeanTemp",15,0,100,"Low"
"5",20,"F37B.Soft","MeanTemp","Steelhead","Migration","F37B.Soft_MeanTemp",15,0,100,"Low"
"6",24,"F45B","MeanTemp","Steelhead","Migration","F45B_MeanTemp",19,0,100,"Low"
"7",28,"F57C","MeanTemp","Steelhead","Migration","F57C_MeanTemp",11,0,100,"Low"
"8",32,"GLEN","MeanTemp","Steelhead","Migration","GLEN_MeanTemp",11,0,100,"Low"
"9",36,"LA_20_2","MeanTemp","Steelhead","Migration","LA_20_2_MeanTemp",11,0,100,"Low"
"10",40,"LA11","MeanTemp","Steelhead","Migration","LA11_MeanTemp",11,0,100,"Low"
"11",44,"LA13","MeanTemp","Steelhead","Migration","LA13_MeanTemp",11,0,100,"Low"
"12",48,"LA14","MeanTemp","Steelhead","Migration","LA14_MeanTemp",11,0,100,"Low"
"13",52,"LA2","MeanTemp","Steelhead","Migration","LA2_MeanTemp",6,0,100,"Low"
"14",56,"LA20","MeanTemp","Steelhead","Migration","LA20_MeanTemp",11,0,100,"Low"
"15",60,"LA3","MeanTemp","Steelhead","Migration","LA3_MeanTemp",6,0,100,"Low"
"16",64,"LA8","MeanTemp","Steelhead","Migration","LA8_MeanTemp",6,0,100,"Low"
