"","year","position","Time_Period","value"
"1",2010,"MC","Annual",22.6098776619846
"2",2011,"MC","Annual",9.53196347031963
"3",2012,"MC","Annual",4.42850637522769
"4",2013,"MC","Annual",2.36301369863014
"5",2014,"MC","Annual",2.40867579908676
"6",2015,"MC","Annual",2.21461187214612
"7",2016,"MC","Annual",3.26730418943534
"8",2017,"MC","Annual",6.28815628815629
"9",2010,"LOB","Annual",13.4118713185319
"10",2011,"LOB","Annual",3.81278538812785
"11",2012,"LOB","Annual",2.17440801457195
"12",2013,"LOB","Annual",1.15296803652968
"13",2014,"LOB","Annual",1.65525114155251
"14",2015,"LOB","Annual",1.22146118721461
"15",2016,"LOB","Annual",1.9011839708561
"16",2017,"LOB","Annual",3.54090354090354
"17",2010,"ROB","Annual",5.79972813774354
"18",2011,"ROB","Annual",1.32420091324201
"19",2012,"ROB","Annual",0.887978142076503
"20",2013,"ROB","Annual",0.365296803652968
"21",2014,"ROB","Annual",0.753424657534247
"22",2015,"ROB","Annual",0.376712328767123
"23",2016,"ROB","Annual",0.979052823315118
"24",2017,"ROB","Annual",1.6025641025641
"25",2010,"MC","non_critical",12.4401913875598
"26",2011,"MC","non_critical",2.260348583878
"27",2012,"MC","non_critical",2.34204793028322
"28",2013,"MC","non_critical",0.953159041394335
"29",2014,"MC","non_critical",0.708061002178649
"30",2015,"MC","non_critical",0.571895424836601
"31",2016,"MC","non_critical",1.49782135076253
"32",2017,"MC","non_critical",0
"33",2010,"LOB","non_critical",4.78468899521531
"34",2011,"LOB","non_critical",1.1437908496732
"35",2012,"LOB","non_critical",1.33442265795207
"36",2013,"LOB","non_critical",0.517429193899782
"37",2014,"LOB","non_critical",0.517429193899782
"38",2015,"LOB","non_critical",0.190631808278867
"39",2016,"LOB","non_critical",0.735294117647059
"40",2017,"LOB","non_critical",0
"41",2010,"ROB","non_critical",1.50375939849624
"42",2011,"ROB","non_critical",0.571895424836601
"43",2012,"ROB","non_critical",0.326797385620915
"44",2013,"ROB","non_critical",0.0544662309368192
"45",2014,"ROB","non_critical",0.217864923747277
"46",2015,"ROB","non_critical",0.0272331154684096
"47",2016,"ROB","non_critical",0.272331154684096
"48",2017,"ROB","non_critical",0
"49",2010,"MC","critical",42.6075268817204
"50",2011,"MC","critical",14.7798742138365
"51",2012,"MC","critical",5.92723004694836
"52",2013,"MC","critical",3.38050314465409
"53",2014,"MC","critical",3.63600628930818
"54",2015,"MC","critical",3.4001572327044
"55",2016,"MC","critical",4.53834115805947
"56",2017,"MC","critical",9.48434622467772
"57",2010,"LOB","critical",30.3763440860215
"58",2011,"LOB","critical",5.73899371069182
"59",2012,"LOB","critical",2.77777777777778
"60",2013,"LOB","critical",1.61163522012579
"61",2014,"LOB","critical",2.47641509433962
"62",2015,"LOB","critical",1.96540880503145
"63",2016,"LOB","critical",2.73865414710485
"64",2017,"LOB","critical",5.34069981583794
"65",2010,"ROB","critical",14.247311827957
"66",2011,"ROB","critical",1.86713836477987
"67",2012,"ROB","critical",1.29107981220657
"68",2013,"ROB","critical",0.589622641509434
"69",2014,"ROB","critical",1.13993710691824
"70",2015,"ROB","critical",0.628930817610063
"71",2016,"ROB","critical",1.4866979655712
"72",2017,"ROB","critical",2.4171270718232
