Medium,High,Node,LifeStage
1646,1502,LA20_2,Growth
841,655,LA14,Growth
250,149,GLEN,Growth
844,666,LA11,Growth
159,39,F57C,Growth
114,86,11101250,Growth
301,298,F37B_Low,Growth
NA,28466,LA20_2,Adult
NA,39231,LA14,Adult
NA,40590,GLEN,Adult
NA,40888,LA11,Adult
NA,41750,F57C,Adult
NA,8327,11101250,Adult
NA,3369,F37B_Low,Adult
