"","Node","LOB","MC","ROB"
"1","11101250",70.0475,0.0025,51
"2","F300",111.300155639648,1.97330164909363,111.300155639648
"3","F319",NA,62.577335357666,NA
"4","F34D",NA,59.7375183105469,NA
"5","F37BHigh",NA,0.842822730541229,NA
"6","F37BLow",123.410194396973,7.80286407470703,0.0530344806611538
"7","F45B",NA,16.0653305053711,NA
"8","F57C",26.2292575836182,26.2292575836182,641.784973144531
"9","GLEN",22.9843254089355,197.822830200195,22.9843254089355
"10","LA1",NA,62.577335357666,NA
"11","LA11",175.220397949219,24.5054531097412,418.549255371094
"12","LA13",NA,37.8095855712891,NA
"13","LA14",23.112771987915,394.483947753906,7.66123008728027
"14","LA2",1767.23364257812,62.577335357666,990.017517089844
"15","LA20",120.628036499023,1.5979483127594,122.101661682129
"16","LA202",1278.57861328125,0,1173.27380371094
"17","LA3",92.6185302734375,61.8137588500977,92.6185302734375
"18","LA8",46.5073356628418,46.5073356628418,46.5073356628418
