Location,Section,Reach,Latitude,Longitude,Date,General Transect,Channel width (m),Depth (cm),Vel (0.6) m/s,Vel (0.2)  m/s,Vel (0.8)  m/s,Distance to Cover (m),Cover Type,Dominant Substrate,Canopy Left,Canopy Upstream,Canopy Right,Canopy Downstream,Comments
Rialto Drain,1,1,34.04521,-117.3538,9/19/2017,1,3.9,10,0.05,NA,NA,NA,NA,GV,NV,NV,16,NV,
Rialto Drain,1,1,34.04521,-117.3538,9/19/2017,1,3.9,20,0.12,NA,NA,NA,NA,GV,NV,NV,NV,NV,
Rialto Drain,1,1,34.04521,-117.3538,9/19/2017,1,3.9,22,0.21,NA,NA,NA,NA,GV,NV,NV,NV,NV,
Rialto Drain,1,1,34.04521,-117.3538,9/19/2017,1,3.9,25,0.32,NA,NA,NA,NA,GV,NV,NV,NV,NV,
Rialto Drain,1,1,34.04521,-117.3538,9/19/2017,1,3.9,26,0.33,NA,NA,NA,NA,GV,NV,13,NV,8,
Rialto Drain,1,1,34.04521,-117.3538,9/19/2017,1,3.9,30,0.41,NA,NA,NA,NA,GV,NV,NV,NV,NV,
Rialto Drain,1,1,34.04521,-117.3538,9/19/2017,1,3.9,31,0.46,NA,NA,NA,NA,SA,NV,NV,NV,NV,
Rialto Drain,1,1,34.04521,-117.3538,9/19/2017,1,3.9,36,0.44,NA,NA,NA,NA,GV,NV,NV,NV,NV,
Rialto Drain,1,1,34.04521,-117.3538,9/19/2017,1,3.9,40,0.13,NA,NA,NA,NA,SA,NV,NV,NV,NV,
Rialto Drain,1,1,34.04521,-117.3538,9/19/2017,1,3.9,60,0.04,NA,UB,NA,UB,BO,17,NV,NV,NV,
Rialto Drain,1,1,34.04528,-117.35411,9/19/2017,2,4,12,0.01,NA,NA,0,OV,SA,NV,NV,12,NV,
Rialto Drain,1,1,34.04528,-117.35411,9/19/2017,2,4,18,0.52,NA,NA,NA,NA,GV,NV,NV,NV,NV,
Rialto Drain,1,1,34.04528,-117.35411,9/19/2017,2,4,19,0.54,NA,NA,NA,NA,GV,NV,NV,NV,NV,
Rialto Drain,1,1,34.04528,-117.35411,9/19/2017,2,4,19,0.67,NA,NA,NA,NA,GV,NV,NV,NV,NV,
Rialto Drain,1,1,34.04528,-117.35411,9/19/2017,2,4,20,0.46,NA,NA,0,OV,CO,NV,NV,NV,NV,
Rialto Drain,1,1,34.04528,-117.35411,9/19/2017,2,4,20,0.55,NA,NA,NA,NA,CO,NV,5,NV,6,
Rialto Drain,1,1,34.04528,-117.35411,9/19/2017,2,4,20,0.4,NA,NA,0,OV,GV,15,NV,NV,NV,
Rialto Drain,1,1,34.04528,-117.35411,9/19/2017,2,4,20,0.56,NA,NA,NA,NA,GV,NV,NV,NV,NV,
Rialto Drain,1,1,34.04528,-117.35411,9/19/2017,2,4,22,0.56,NA,NA,NA,NA,CO,NV,NV,NV,NV,
Rialto Drain,1,1,34.04528,-117.35411,9/19/2017,2,4,28,0.23,NA,NA,NA,NA,SA,NV,NV,NV,NV,
Rialto Drain,1,1,34.04535,-117.35416,9/19/2017,3,3.8,10,0.03,NA,NA,NA,NA,SA,NV,NV,NV,NV,
Rialto Drain,1,1,34.04535,-117.35416,9/19/2017,3,3.8,12,0.12,NA,NA,NA,NA,SA,NV,NV,NV,NV,
Rialto Drain,1,1,34.04535,-117.35416,9/19/2017,3,3.8,16,0.22,NA,NA,NA,NA,SA,NV,NV,NV,NV,
Rialto Drain,1,1,34.04535,-117.35416,9/19/2017,3,3.8,22,0.34,NA,NA,NA,NA,SA,NV,NV,NV,NV,
Rialto Drain,1,1,34.04535,-117.35416,9/19/2017,3,3.8,25,0.43,NA,NA,NA,NA,CO,NV,17,NV,17,
Rialto Drain,1,1,34.04535,-117.35416,9/19/2017,3,3.8,30,0.69,NA,NA,NA,NA,CO,NV,NV,NV,NV,
Rialto Drain,1,1,34.04535,-117.35416,9/19/2017,3,3.8,32,0.67,NA,NA,NA,NA,CO,NV,NV,NV,NV,
Rialto Drain,1,1,34.04535,-117.35416,9/19/2017,3,3.8,33,0.17,NA,NA,NA,UB,GV,NV,NV,NV,NV,
Rialto Drain,1,1,34.04535,-117.35416,9/19/2017,3,3.8,35,0.46,NA,NA,NA,NA,CO,NV,NV,NV,NV,
Rialto Drain,1,1,34.04535,-117.35416,9/19/2017,3,3.8,40,0,NA,NA,NA,NA,SA,17,NV,NV,NV,
Rialto Drain,1,1,34.04538,-117.3542,9/19/2017,4,3.1,8,0.79,NA,NA,NA,NA,CO,NV,NV,NV,NV,
Rialto Drain,1,1,34.04538,-117.3542,9/19/2017,4,3.1,8,0.19,NA,NA,NA,NA,GV,17,NV,NV,NV,
Rialto Drain,1,1,34.04538,-117.3542,9/19/2017,4,3.1,14,0.53,NA,NA,NA,NA,CO,NV,NV,NV,NV,
Rialto Drain,1,1,34.04538,-117.3542,9/19/2017,4,3.1,14,0,NA,NA,NA,OV,SA,NV,NV,17,NV,
Rialto Drain,1,1,34.04538,-117.3542,9/19/2017,4,3.1,15,0.71,NA,NA,NA,NA,CO,NV,NV,NV,NV,
Rialto Drain,1,1,34.04538,-117.3542,9/19/2017,4,3.1,18,0.41,NA,NA,0,OV,GV,NV,NV,NV,NV,
Rialto Drain,1,1,34.04538,-117.3542,9/19/2017,4,3.1,20,0.67,NA,NA,NA,NA,CO,NV,NV,NV,NV,
Rialto Drain,1,1,34.04538,-117.3542,9/19/2017,4,3.1,20,1.05,NA,NA,NA,NA,GV,NV,NV,NV,NV,
Rialto Drain,1,1,34.04538,-117.3542,9/19/2017,4,3.1,22,1.01,NA,NA,NA,NA,CO,NV,17,NV,17,
Rialto Drain,1,1,34.04538,-117.3542,9/19/2017,4,3.1,24,1.03,NA,NA,0,OV,GV,NV,NV,NV,NV,
Rialto Drain,1,1,34.04548,-117.35428,9/19/2017,5,4.9,8,0.08,NA,NA,NA,NA,GV,NV,NV,NV,NV,
Rialto Drain,1,1,34.04548,-117.35428,9/19/2017,5,4.9,10,0.01,NA,NA,NA,OV,GV,17,NV,NV,NV,
Rialto Drain,1,1,34.04548,-117.35428,9/19/2017,5,4.9,17,0.24,NA,NA,NA,NA,GV,NV,NV,NV,NV,
Rialto Drain,1,1,34.04548,-117.35428,9/19/2017,5,4.9,20,0.09,NA,NA,NA,OV,GV,NV,NV,NV,NV,
Rialto Drain,1,1,34.04548,-117.35428,9/19/2017,5,4.9,20,0.26,NA,NA,NA,NA,GV,NV,NV,NV,NV,
Rialto Drain,1,1,34.04548,-117.35428,9/19/2017,5,4.9,25,0.33,NA,NA,NA,NA,GV,NV,NV,NV,NV,
Rialto Drain,1,1,34.04548,-117.35428,9/19/2017,5,4.9,26,0.34,NA,NA,NA,NA,GV,NV,NV,NV,NV,
Rialto Drain,1,1,34.04548,-117.35428,9/19/2017,5,4.9,26,0.4,NA,NA,NA,NA,GV,NV,NV,NV,NV,
Rialto Drain,1,1,34.04548,-117.35428,9/19/2017,5,4.9,28,0.41,NA,NA,NA,NA,GV,NV,3,NV,6,
Rialto Drain,1,1,34.04548,-117.35428,9/19/2017,5,4.9,30,0.44,NA,NA,NA,NA,CO,NV,NV,NV,NV,
Rialto Drain,1,1,34.04554,-117.35433,9/19/2017,6,3.9,22,-0.03,NA,NA,NA,NA,SI,NV,NV,17,NV,
Rialto Drain,1,1,34.04554,-117.35433,9/19/2017,6,3.9,28,-0.01,NA,NA,NA,OV,SA,NV,NV,NV,NV,
Rialto Drain,1,1,34.04554,-117.35433,9/19/2017,6,3.9,28,0.12,NA,NA,NA,OV,SA,NV,NV,NV,NV,
Rialto Drain,1,1,34.04554,-117.35433,9/19/2017,6,3.9,32,0.28,NA,NA,NA,OV,SA,NV,NV,NV,NV,
Rialto Drain,1,1,34.04554,-117.35433,9/19/2017,6,3.9,36,0.4,NA,NA,NA,NA,GV,NV,9,NV,3,
