"Sim_MWMaxT","Sim_MWAT","Sim_MWMinT","Sim_MinWAT","Sim_MinWMinT"
21.5977633333333,21.0121514965986,20.3156038095238,18.3047198639456,17.4105814285714
22.0831380952381,20.8859829931973,19.5525961904762,18.9320493197279,17.4092076190476
24.3550542857143,23.4095185714286,22.7289638095238,20.9582621088435,20.159879047619
23.602170952381,23.149472244898,22.2961371428571,21.0000951020408,20.4037142857143
22.9012557142857,22.2824281632653,21.8206357142857,20.3491927891156,19.8797
23.065299047619,22.7312555782313,22.5491185714286,20.7210067346939,20.4582276190476
24.511560952381,23.3853512244898,22.2880152380952,21.2033906122449,20.4192342857143
24.6908171428571,24.3401455782313,23.676380952381,22.3075946938776,22.0856476190476
24.3887104761905,23.9206036734694,23.2767180952381,22.1389293877551,21.4349419047619
23.4605952380952,22.8939907482993,22.5701447619048,20.9621707482993,20.7448342857143
23.7343633333333,22.9158378911565,22.2337580952381,20.8792982993197,20.2544647619048
23.528929047619,22.4961308163265,21.8372533333333,20.5746755102041,19.9012304761905
24.182460952381,23.0283738095238,21.7476719047619,20.972902244898,20.0804923809524
23.4520504761905,22.2412302040816,21.1980719047619,20.2060517687075,19.5343261904762
21.905359047619,20.778385,19.579669047619,18.9413770634921,17.8436238095238
