Date ,6/1/10,6/2/10
Time ,7:20 AM,7:05 AM
Water Column,Surface,Surface
Temp ©,15.9,18.7
pH ,8.36,7.89
Conductivity (μS/cm) ,510,580
TDS (g/L) ,0.327,0.327
Salinity (ppt) ,0.2,0.3
Dissolved Oxygen (mg/L) ,12.18,11.95
ORP (mV) ,97,110
Turbidity (NTU) ,9.4,9.4
SAS,285,23
,,
,,
,,
,,
,,
,,
,,
,,
