bottom velocity,M_Blvd,Highway_60,Riverside_Dr,all_sites,july (Highway 60),august (hwy 60 & mission),total
0.00 – 0.50 ,25,0,40.5,28.2,62.1,95.7,82.9
0.51 – 1.00 ,21.4,61.5,54.1,43.6,37.9,0,14.5
1.01 – 1.50 ,50,23.1,5.4,24.4,0,4.3,2.6
1.51 – 2.00 ,0,15.4,0,2.6,0,0,0
2.01 – 2.50 ,3.6,0,0,1.3,0,0,0
2.51 – 3.00 ,0,0,0,0,0,0,0
abundance,28,20,37,85,29,47,76
