Year,Site,Depth_m,Depth_se,wetted_width_m,Wetted_width_se,Bottom_Velocity,Bottom_Velocity_se,Mid-_column_velocity_,Mid_column_velocity_se,Discharge_m,discharge_se,silt_sand_m,silt_sand_se,gravel_cobble_m,gravel_cobble_se,boulder_m,boulder_se,sandbar_m,sandbar_se,vegetation_m,vegetation_se
2003,B,0.18,0.01,13.19,1.63,0.35,0.02,0.49,0.03,1.11,0.11,0.84,0.03,0.08,0.02,0,0,0,0,0.08,0.02
2003,C,0.26,-0.02,7.59,0.49,0.43,0.04,0.64,0.13,1.27,0.26,0.88,0.04,0.1,0.03,0.01,0.01,0,0,0.02,0.02
2004,B,0.19,0.02,8.91,0.78,0.39,0.02,0.48,0.03,0.85,0.12,0.7,0.03,0.29,0.03,0.01,0.01,0,0,0,0
2005,A,0.27,0.05,7.33,2.36,0.17,0.06,0.23,0.07,0.44,0.12,0.56,0.14,0.44,0.14,0,0,0,0,0,0
2005,B,0.26,0.03,12.67,5.35,0.19,0.03,0.17,0.03,0.56,0.13,0.97,0.05,0.03,0.05,0,0,0,0,0,0
2005,C,0.28,0.05,8,0,0.2,0.04,0.24,0.05,0.51,0.24,1,0,0,,0,0,0,0,0,0
2006,A,0.15,-0.03,10,2.26,0.11,0.03,0.16,0.05,0.36,0.19,0.45,0.1,0.41,0.11,0,0,0.04,0.05,0.09,0.07
2006,B,0.1,0.01,11.33,4.57,0.08,0.02,0.11,0.03,0.1,0.04,0.89,0.08,0.06,0.06,0,0,0.05,0.06,0,0
2006,C,0.13,-0.01,14,4.08,0.12,0.02,0.13,0.02,0.22,0.06,0.96,0.04,0.04,0.04,0,0,0,0,0,0
2007,A,0.33,-0.1,6.33,0.65,0.3,0.14,0.52,0.2,1.02,0.21,0.71,0.16,0.29,0.16,0,0,0,0,0,0
2007,B,0.31,-0.09,5,1.13,0.2,0.11,0.38,0.18,0.57,0.11,0.57,0.16,0.37,0.18,0,0,0,0,0.1,0.14
2007,C,0.18,0.06,6.33,0.65,0.28,0.09,0.44,0.14,0.48,0.09,0.42,0.19,0.47,0.19,0,0,0,0,0.11,0.14
2008,A,0.23,0.03,7.17,0.33,0.35,0.08,0.53,0.1,0.86,0.14,0.5,0.07,0.5,0.07,0,0,0,0,0,0
2008,B,0.1,-0.01,13.83,2.79,0.42,0.04,0.48,0.04,0.65,0.1,0.95,0.03,0.02,0.02,0,0,0,0,0.04,0.03
2008,C,0.13,0.04,12.33,2.79,0.43,0.04,0.51,0.04,0.83,0.21,0.96,0.03,0.01,0.02,0,0,0,0,0.03,0.03
,,,,,,,,,,,,,,,,,,,,,
