Section,Segment,Reach,Sampled Post storm (Y/N),Latitude,Longitude,Date,Transect #,Channel width (m),Depth (cm),Vel (0.6) m/s,Vel (0.2)  m/s,Vel (0.8)  m/s,Substrate,Available cover type,Distance (m) TO COVER,Line Order#,Transect DS to US order,Notes,
Rialto Drain,1,1,N,34.04794,-117.35625,7/23/2015,1,3.8,12,0.20,NV,NV,SA,NV,NV,1,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,7/23/2015,1,3.8,12,0.06,NV,NV,CO,NV,NV,2,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,7/23/2015,1,3.8,16,0.43,NV,NV,CO,NV,NV,3,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,7/23/2015,1,3.8,16,0.48,NV,NV,GV,NV,NV,4,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,7/23/2015,1,3.8,18,0.37,NV,NV,GV,NV,NV,5,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,7/23/2015,1,3.8,16,0.22,NV,NV,GV,NV,NV,6,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,7/23/2015,1,3.8,16,0.81,NV,NV,BO,NV,NV,7,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,7/23/2015,1,3.8,18,0.81,NV,NV,SA,NV,NV,8,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,7/23/2015,1,3.8,16,-0.03,NV,NV,SA,NV,NV,9,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,7/23/2015,1,3.8,12,-0.02,NV,NV,SA,NV,NV,10,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,7/23/2015,2,4.3,38,-0.01,NV,NV,GV,NV,NV,1,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,7/23/2015,2,4.3,38,0.15,NV,NV,GV,NV,NV,2,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,7/23/2015,2,4.3,38,0.17,NV,NV,CO,NV,NV,3,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,7/23/2015,2,4.3,46,0.12,NV,NV,GV,NV,NV,4,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,7/23/2015,2,4.3,48,0.19,NV,NV,SA,NV,NV,5,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,7/23/2015,2,4.3,48,0.13,NV,NV,SA,NV,NV,6,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,7/23/2015,2,4.3,44,0.08,NV,NV,CO,NV,NV,7,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,7/23/2015,2,4.3,42,0.17,NV,NV,GV,NV,NV,8,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,7/23/2015,2,4.3,40,0.11,NV,NV,SA,NV,NV,9,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,7/23/2015,2,4.3,32,0.00,NV,NV,SA,NV,NV,10,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,7/23/2015,2,4.3,24,-0.01,NV,NV,SA,NV,NV,11,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,7/23/2015,3,4.6,30,-0.01,NV,NV,GV,NV,NV,1,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,7/23/2015,3,4.6,30,0.16,NV,NV,GV,NV,NV,2,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,7/23/2015,3,4.6,30,0.23,NV,NV,GV,NV,NV,3,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,7/23/2015,3,4.6,28,0.10,NV,NV,CO,NV,NV,4,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,7/23/2015,3,4.6,22,-0.01,NV,NV,CO,NV,NV,5,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,7/23/2015,3,4.6,28,0.37,NV,NV,CO,NV,NV,6,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,7/23/2015,3,4.6,22,0.50,NV,NV,CO,NV,NV,7,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,7/23/2015,3,4.6,30,0.16,NV,NV,CO,NV,NV,8,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,7/23/2015,3,4.6,20,0.26,NV,NV,BO,NV,NV,9,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,7/23/2015,3,4.6,18,-0.07,NV,NV,SA,NV,NV,10,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,7/23/2015,4,3.3,2,0.00,NV,NV,CO,NV,NV,1,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,7/23/2015,4,3.3,2,0.00,NV,NV,CO,NV,NV,2,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,7/23/2015,4,3.3,10,-0.07,NV,NV,CO,NV,NV,3,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,7/23/2015,4,3.3,18,-0.02,NV,NV,GV,NV,NV,4,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,7/23/2015,4,3.3,28,0.08,NV,NV,GV,NV,NV,5,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,7/23/2015,4,3.3,24,0.15,NV,NV,CO,NV,NV,6,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,7/23/2015,4,3.3,32,0.31,NV,NV,BO,NV,NV,7,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,7/23/2015,4,3.3,40,0.70,NV,NV,CO,NV,NV,8,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,7/23/2015,4,3.3,38,0.79,NV,NV,CO,NV,NV,9,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,7/23/2015,4,3.3,40,0.45,NV,NV,CO,NV,NV,10,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,7/23/2015,5,4.4,10,0.43,NV,NV,SA,NV,NV,1,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,7/23/2015,5,4.4,10,0.54,NV,NV,SA,NV,NV,2,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,7/23/2015,5,4.4,13,0.95,NV,NV,SA,NV,NV,3,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,7/23/2015,5,4.4,12,0.27,NV,NV,CO,NV,NV,4,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,7/23/2015,5,4.4,20,0.74,NV,NV,CO,NV,NV,5,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,7/23/2015,5,4.4,16,0.43,NV,NV,CO,NV,NV,6,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,7/23/2015,5,4.4,12,0.39,NV,NV,CO,NV,NV,7,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,7/23/2015,5,4.4,6,-0.01,NV,NV,BO,NV,NV,8,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,7/23/2015,5,4.4,8,0.14,NV,NV,CO,NV,NV,9,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,7/23/2015,5,4.4,20,0.32,NV,NV,CO,NV,NV,10,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,7/23/2015,6,5.8,8,-0.01,NV,NV,CO,NV,NV,1,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,7/23/2015,6,5.8,4,0.02,NV,NV,CO,NV,NV,2,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,7/23/2015,6,5.8,2,0.72,NV,NV,BO,NV,NV,3,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,7/23/2015,6,5.8,16,0.49,NV,NV,CO,NV,NV,4,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,7/23/2015,6,5.8,22,0.37,NV,NV,CO,NV,NV,5,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,7/23/2015,6,5.8,18,0.38,NV,NV,CO,NV,NV,6,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,7/23/2015,6,5.8,12,0.11,NV,NV,BO,NV,NV,7,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,7/23/2015,6,5.8,16,0.51,NV,NV,CO,NV,NV,8,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,7/23/2015,6,5.8,20,0.20,NV,NV,GV,NV,NV,9,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,7/23/2015,6,5.8,10,0.22,NV,NV,BO,NV,NV,10,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,7/23/2015,7,6,2,0.00,NV,NV,CO,NV,NV,1,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,7/23/2015,7,6,10,0.32,NV,NV,GV,NV,NV,2,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,7/23/2015,7,6,16,0.54,NV,NV,BO,NV,NV,3,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,7/23/2015,7,6,14,0.72,NV,NV,GV,NV,NV,4,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,7/23/2015,7,6,14,0.74,NV,NV,GV,NV,NV,5,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,7/23/2015,7,6,12,0.21,NV,NV,CO,NV,NV,6,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,7/23/2015,7,6,2,0.11,NV,NV,BO,NV,NV,7,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,7/23/2015,7,6,12,0.48,NV,NV,GV,NV,NV,8,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,7/23/2015,7,6,14,0.16,NV,NV,CO,NV,NV,9,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,7/23/2015,7,6,10,0.10,NV,NV,CO,NV,NV,10,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,9/13/2015,1,4.1,2,0.00,NV,NV,GV,UB,0,1,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,9/13/2015,1,4.1,12,0.04,NV,NV,SA,UB,0.2,2,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,9/13/2015,1,4.1,12,0.55,NV,NV,GV,UB,0.6,3,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,9/13/2015,1,4.1,18,0.60,NV,NV,CO,UB,1,4,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,9/13/2015,1,4.1,14,0.59,NV,NV,CO,UB,1.4,5,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,9/13/2015,1,4.1,16,0.63,NV,NV,CO,UB,2,6,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,9/13/2015,1,4.1,18,0.30,NV,NV,GV,UB,1.6,7,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,9/13/2015,1,4.1,17,0.83,NV,NV,CO,UB,1.2,8,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,9/13/2015,1,4.1,20,0.56,NV,NV,GV,UB,0.8,9,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,9/13/2015,1,4.1,13,0.04,NV,NV,BO,UB,0.2,10,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,9/13/2015,2,4.2,27,0.05,NV,NV,SA,UB,0.4,1,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,9/13/2015,2,4.2,36,0.03,NV,NV,SA,UB,0.8,2,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,9/13/2015,2,4.2,39,0.10,NV,NV,CO,BO,0.8,3,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,9/13/2015,2,4.2,46,0.17,NV,NV,CO,BO,0.4,4,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,9/13/2015,2,4.2,46,0.09,NV,NV,CO,BO,0.2,5,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,9/13/2015,2,4.2,48,0.28,NV,NV,CO,BO,0,6,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,9/13/2015,2,4.2,45,0.23,NV,NV,CO,BO,0.2,7,NV,,
