Abundance,silt_sand_perc
12.9386,5.5501
10.9667,9.1987
9.9437,16.5486
6.9525,10.5289
5.9127,12.9506
2.9356,23.9935
3.9358,38.7029
0.0168,14.9785
-2.24E-03,20.0197
0.0329,23.0283
0.0314,30.027
0.0101,45.0374
8.94E-03,50.0724
7.38E-03,57.0711
0.0235,65.0706
3.34E-03,75.0964
0.019,85.1099
0.9283,25.7412
