,WY,total.precip.in,tercile,WYT
1,1950,9.72,2,MODERATE
2,1951,7.34,1,DRY
3,1952,18.57,3,WET
4,1953,9.43,2,MODERATE
5,1954,11.95,2,MODERATE
6,1955,10.09,2,MODERATE
7,1956,12.86,2,MODERATE
8,1957,7.69,1,DRY
9,1958,20.82,3,WET
10,1959,5.39,1,DRY
11,1960,9,2,MODERATE
12,1961,3.84,1,DRY
13,1962,16.41,3,WET
14,1963,10.83,2,MODERATE
15,1964,6.1,1,DRY
16,1965,10.92,2,MODERATE
17,1966,14.54,3,WET
18,1967,14.69,3,WET
19,1968,10.83,2,MODERATE
20,1969,20.82,3,WET
21,1970,6.22,1,DRY
22,1971,9.88,2,MODERATE
23,1972,6.31,1,DRY
24,1973,15.34,3,WET
25,1974,11.28,2,MODERATE
26,1975,12.63,2,MODERATE
27,1976,7.34,1,DRY
28,1977,11.4,2,MODERATE
29,1978,27.27,3,WET
30,1979,17.62,3,WET
31,1980,21.61,3,WET
32,1981,8.67,2,MODERATE
33,1982,10.64,2,MODERATE
34,1983,23.17,3,WET
35,1984,8.88,2,MODERATE
36,1985,10.47,2,MODERATE
37,1986,16.05,3,WET
38,1987,5.89,1,DRY
39,1988,8.34,1,DRY
40,1989,6.31,1,DRY
41,1990,5.36,1,DRY
42,1991,10.08,2,MODERATE
43,1992,15.2,3,WET
44,1993,22.96,3,WET
45,1994,8.06,1,DRY
46,1995,23.17,3,WET
47,1996,9.81,2,MODERATE
48,1997,12.98,2,MODERATE
49,1998,27.41,3,WET
50,1999,7.97,1,DRY
51,2000,8.26,1,DRY
52,2001,14.98,3,WET
53,2002,3.82,1,DRY
54,2003,14.72,3,WET
55,2004,7.96,1,DRY
56,2005,24.16,3,WET
57,2006,8.9,2,MODERATE
58,2007,2.79,1,DRY
59,2008,9.24,2,MODERATE
60,2009,7.49,1,DRY
61,2010,13.4,3,WET
62,2011,16.99,3,WET
63,2012,8.14,1,DRY
64,2013,5.33,1,DRY
65,2014,4.16,1,DRY
66,2015,9.78,2,MODERATE
67,2016,6.15,1,DRY
68,2017,19.03,3,WET
69,2018,4.13,1,DRY
70,2019,17.51,3,WET
