Date,Condition,Site,Time,Replicate #,Fish #,SL (mm),TL (mm),Weight (g),Sex,Life Stage,Spawning (Y/N),Temp (°C),Depth (m),Current (m/sec)
8-Mar-99,OK,MWDA,1001,1,4,80,120,13,NB,0+ adult,N,18.33,0.30,0.4831588
8-Mar-99,PH,MWDA,1103,2,5,61,74,6,NB,0+ adult,N,19.82,0.30,0.282956
8-Mar-99,OK,MWDA,1111,2,6,88,101,13,NB,1+ adult,N,19.93,0.17,0.2497328
8-Mar-99,OK,MWDA,1115,2,7,75,90,8,NB,0+ adult,N,19.93,0.31,0.6926072
8-Mar-99,OK,MWDA,1116,2,8,63,78,4,NB,0+ adult,N,19.93,0.37,0.67056
8-Mar-99,OK,MWDA,1118,2,9,73,89,8,NB,0+ adult,N,19.93,0.17,0.5823712
8-Mar-99,OK,MWDA,1126,2,10,72,85,10,NB,0+ adult,N,19.96,0.17,0.2718816
8-Mar-99,OK,MWDA,1300,3,11,90,108,15,BT,1+ adult,Y,21.45,0.34,0.505206
8-Mar-99,OK,MWDA,1300,3,12,69,80,6.5,NB,0+ adult,N,21.45,0.15,0.2940304
8-Mar-99,OK,MWDA,1327,3,13,70,83,7,NB,0+ adult,N,22.27,0.20,0.3604768
8-Mar-99,PH,MWDA,1335,3,14,60,71,3.5,NB,0+ adult,N,22.20,0.17,0.4721352
8-Mar-99,OK,MWDA,1337,3,15,77,89,6.5,NB,0+ adult,N,22.20,0.17,0.3272536
8-Mar-99,OK,MWDA,1555,5,16,88,115,14.5,NB,1+ adult,N,20.53,0.20,0.1611376
8-Mar-99,OK,MWDA,1558,5,17,79,93,10,NB,0+ adult,N,20.60,0.39,0.4611116
8-Mar-99,OK,MWDA,1605,5,18,64,76,5,NB,0+ adult,N,20.60,0.28,0.3826256
8-Mar-99,OK,MWDA,1610,5,19,115,135,30,BT,1+ adult,Y,20.70,0.29,0.4941824
8-Mar-99,OK,MWDA,940,1,1,69,84,8,NB,0+ adult,N,17.63,0.21,0.4831588
8-Mar-99,OK,MWDA,950,1,2,78,91,9,NB,0+ adult,N,17.93,0.18,0.3161792
8-Mar-99,OK,MWDA,950,1,3,69,85,7.5,NB,0+ adult,N,17.93,0.37,0.3051048
12-Dec-98,OK,MWDA,1035,2,1,46,55,2,NB,0+ adult,N,15.34,0.17,0.338328
