Velocity,SGR_N,SGR_perc,MWD_N,MWD_perc
<0.10,94,17.7,2,1.3
0.10-0.24,172,32.3,18,11.5
0.25-0.49,169,31.8,96,61.1
0.50-0.74,73,13.7,41,26.1
0.75-0.99,15,2.8,0,0
>1,9,1.7,0,0
