Location,Section,Reach,Date,Method,Pass,Observer,Common Name,Count,Total Length (mm),Fork Length (mm),Weight (g),Start Time,End Time,Total Shocker Seconds,Comments
Rialto Drain,1,1,9/19/2017,Snorkel,2,Larry Brown,Arroyo Chub,72,NV,50,NV,916,934,NV,
Rialto Drain,1,1,9/19/2017,Snorkel,2,Larry Brown,Arroyo Chub,85,NV,60,NV,916,934,NV,
Rialto Drain,1,1,9/19/2017,Snorkel,2,Larry Brown,Santa Ana Sucker,3,NV,70,NV,916,934,NV,
Rialto Drain,1,1,9/19/2017,Snorkel,2,Larry Brown,Arroyo Chub,50,NV,70,NV,916,934,NV,
Rialto Drain,1,1,9/19/2017,Snorkel,2,Larry Brown,Santa Ana Sucker,1,NV,80,NV,916,934,NV,
Rialto Drain,1,1,9/19/2017,Snorkel,2,Larry Brown,Arroyo Chub,5,NV,80,NV,916,934,NV,
Rialto Drain,1,1,9/19/2017,Snorkel,2,Larry Brown,Santa Ana Sucker,1,NV,90,NV,916,934,NV,
Rialto Drain,1,1,9/19/2017,Snorkel,2,Larry Brown,Santa Ana Sucker,1,NV,100,NV,916,934,NV,
Rialto Drain,1,1,9/19/2017,Snorkel,2,Larry Brown,Western Mosquitofish,100,NV,NV,NV,916,934,NV,
Rialto Drain,1,1,9/19/2017,Snorkel,1,Larry Brown,Arroyo Chub,37,NV,50,NV,855,914,NV,
Rialto Drain,1,1,9/19/2017,Snorkel,1,Larry Brown,Arroyo Chub,72,NV,60,NV,855,914,NV,
Rialto Drain,1,1,9/19/2017,Snorkel,1,Larry Brown,Santa Ana Sucker,1,NV,70,NV,855,914,NV,downstream to upstream
Rialto Drain,1,1,9/19/2017,Snorkel,1,Larry Brown,Arroyo Chub,37,NV,70,NV,855,914,NV,
Rialto Drain,1,1,9/19/2017,Snorkel,1,Larry Brown,Santa Ana Sucker,2,NV,80,NV,855,914,NV,
Rialto Drain,1,1,9/19/2017,Snorkel,1,Larry Brown,Santa Ana Sucker,1,NV,90,NV,855,914,NV,
Rialto Drain,1,1,9/19/2017,Snorkel,1,Larry Brown,Santa Ana Sucker,1,NV,100,NV,855,914,NV,
Rialto Drain,1,1,9/19/2017,Snorkel,1,Larry Brown,Western Mosquitofish,100,NV,NV,NV,855,914,NV,
Rialto Drain,1,2,9/19/2017,Snorkel,2,NV,Arroyo Chub,10,NV,60,NV,1118,1131,NV,
Rialto Drain,1,2,9/19/2017,Snorkel,2,NV,Arroyo Chub,8,NV,70,NV,1118,1131,NV,
Rialto Drain,1,2,9/19/2017,Snorkel,2,NV,Arroyo Chub,2,NV,80,NV,1118,1131,NV,
Rialto Drain,1,2,9/19/2017,Snorkel,2,NV,Largemouth Bass,1,NV,150,NV,1118,1131,NV,
Rialto Drain,1,2,9/19/2017,Snorkel,1,NV,Arroyo Chub,5,NV,60,NV,1100,1115,NV,
Rialto Drain,1,2,9/19/2017,Snorkel,1,NV,Arroyo Chub,6,NV,70,NV,1100,1115,NV,
Rialto Drain,1,2,9/19/2017,Snorkel,1,NV,Arroyo Chub,3,NV,80,NV,1100,1115,NV,
Rialto Drain,1,3,9/19/2017,Snorkel,2,NV,Largemouth Bass,1,NV,250,NV,1218,1230,NV,
Rialto Drain,1,3,9/19/2017,Snorkel,2,NV,Western Mosquitofish,20,NV,NV,NV,1218,1230,NV,
Rialto Drain,1,3,9/19/2017,Snorkel,1,NV,Western Mosquitofish,20,NV,NV,NV,1200,1215,NV,
Rialto Drain to RIX,2,1,9/19/2017,Snorkel,2,NV,Santa Ana Sucker,1,NV,40,NV,1404,1414,NV,
Rialto Drain to RIX,2,1,9/19/2017,Snorkel,2,NV,Arroyo Chub,10,NV,40,NV,1404,1414,NV,
