Location,Section,Reach,Latitude,Longitude,Date,General Transect,Channel width (m),Depth (cm),Vel (0.6) m/s,Vel (0.2)  m/s,Vel (0.8)  m/s,Distance to Cover (m),Cover Type,Dominant Substrate,"Canopy
Left Bank","Canopy
Upstream","Canopy
Right Bank","Canopy
Downstream",Comments
Rialto Drain to Confluence,1,1,34.04717,-117.35571,9/11/2016,1,4.2,20,0.1,NA,NA,0.2,UB,CO,NV,NV,17,NV,
Rialto Drain to Confluence,1,1,34.04717,-117.35571,9/11/2016,1,4.2,6,0,NA,NA,0.2,UB,SA,17,NV,NV,NV,
Rialto Drain to Confluence,1,1,34.04717,-117.35571,9/11/2016,1,4.2,23,0.3,NA,NA,0.6,UB,CO,NV,NV,NV,NV,
Rialto Drain to Confluence,1,1,34.04717,-117.35571,9/11/2016,1,4.2,20,0.23,NA,NA,0.6,UB,SA,NV,NV,NV,NV,
Rialto Drain to Confluence,1,1,34.04717,-117.35571,9/11/2016,1,4.2,33,0.35,NA,NA,NA,NC,SA,NV,NV,NV,NV,
Rialto Drain to Confluence,1,1,34.04717,-117.35571,9/11/2016,1,4.2,29,0.35,NA,NA,NA,NC,CO,NV,16,NV,14,
Rialto Drain to Confluence,1,1,34.04717,-117.35571,9/11/2016,1,4.2,24,0.34,NA,NA,NA,NC,BO,NV,NV,NV,NV,
Rialto Drain to Confluence,1,1,34.04717,-117.35571,9/11/2016,1,4.2,28,0.3,NA,NA,NA,NC,SA,NV,NV,NV,NV,
Rialto Drain to Confluence,1,1,34.04717,-117.35571,9/11/2016,1,4.2,30,0.27,NA,NA,NA,NC,GV,NV,NV,NV,NV,
Rialto Drain to Confluence,1,1,34.04717,-117.35571,9/11/2016,1,4.2,33,0.26,NA,NA,NA,NC,SA,NV,NV,NV,NV,
Rialto Drain to Confluence,1,1,NV,NV,9/11/2016,2,3.1,20,0.34,NA,NA,0.2,UB,CO,NV,NV,17,NV,
Rialto Drain to Confluence,1,1,NV,NV,9/11/2016,2,3.1,8,-0.03,NA,NA,0.2,OV,GV,17,NV,NV,NV,
Rialto Drain to Confluence,1,1,NV,NV,9/11/2016,2,3.1,12,0.34,NA,NA,0.4,OV,GV,NV,NV,NV,NV,
