Section,Segment,Reach,Sampled after storm,Date,Latitude,Longitude,Observer,Recorder,Start Time,End Time ,Species,Number,Total Length (mm),"Distance fish
abv bottom
(cm)","Velocity at
fish (m/s)","Total
Depth (cm)",Vel (0.6) m/s,Vel (0.2)  m/s,Vel (0.8)  m/s,Activity,GCU,"Dominant
substrate","Distance
from cover
(m)","Cover
type",Comments
Rialto Drain,1,1,N,7/22/15,34.04794,-117.35625,Jason,Larry,1400,1420,Santa Ana sucker,1,140,0,0.16,38,0.24,,,holding,run,CO,0.2,RW,Flow meter stopped working
Rialto Drain,1,1,N,7/23/15,34.04794,-117.35625,Jason,Larry,830,930,Arroyo Chub,4,80,0,0.01,0,0.09,,,holding,run,SA,0,UB/RW,
Rialto Drain,1,1,N,7/23/15,34.04794,-117.35625,Jason,Larry,830,930,Arroyo Chub,2,80,4,0.03,54,0.13,,,holding,run,CO,0.5,BO,
Rialto Drain,1,1,N,7/23/15,34.04794,-117.35625,Jason,Larry,830,930,Arroyo Chub,1,120,4,0.03,54,0.13,,,holding,run,CO,0.5,BO,
Rialto Drain,1,1,N,7/23/15,34.04794,-117.35625,Jason,Larry,830,930,Arroyo Chub,1,80,18,0.1,36,0.03,,,holding,run,GV,0.1,AR/OV,
Rialto Drain,1,1,N,7/23/15,34.04794,-117.35625,Jason,Larry,830,930,Arroyo Chub,8,80,4,0,36,0.19,,,holding,run,SA,0.7,RW,
Rialto Drain,1,1,N,7/23/15,34.04794,-117.35625,Jason,Larry,830,930,Arroyo Chub,1,60,16,0.07,32,0.07,,,holding,run,GV,0,OV,
Rialto Drain,1,1,N,7/23/15,34.04794,-117.35625,Jason,Larry,830,930,Arroyo Chub,1,80,4,0.04,54,0.3,,,hiding,riffle,GV,0.1,BO,
Rialto Drain,1,1,N,7/23/15,34.04794,-117.35625,Jason,Larry,830,930,Yellow bullhead,1,80,16,0.01,32,0.01,,,holding,run,SA,0,RW,
Rialto Drain,1,1,N,7/23/15,34.04794,-117.35625,Jason,Larry,830,930,Yellow bullhead,5,80,25,0.1,32,0.09,,,holding,run,SA,0,UB/RW,
