Depth ,M_Blvd,Highway_60,Riverside_Dr,all_sites,july (Highway 60),august (hwy 60 & mission),total
0-5 ,0,0,0,0,0,0,0
10-Jun,0,0,0,0,0,0,0
15-Nov,0,0,0,0,0,0,0
16-20 ,3.6,0,0,1.2,0,0,0
21-25 ,0,0,0,0,0,0,0
26-30 ,0,0,0,0,0,0,0
31-35 ,0,5,5.4,3.5,0,10.6,6.6
36-40 ,7.1,0,2.7,3.5,13.8,4.3,7.9
41-45 ,10.7,10,10.8,10.6,0,8.5,5.3
46-50 ,0,10,18.9,10.6,3.4,0,1.3
51-55 ,28.6,30,0,16.5,58.6,2.1,23.7
56-60 ,0,10,21.6,11.8,6.1,14.9,18.4
61-65 ,0,0,0,0,0,6.4,3.9
66-70 ,0,0,10.8,4.7,0,0,0
71+,50,35,29.7,37.7,0,53.2,32.9
abundance,28,20,37,85,29,47,76
