bottom velocity,M_Blvd,Highway_60,Riverside_Dr,all_sites,july (Highway 60),august (hwy 60 & mission),total
0.00 – 0.50 ,66.7,38.7,0,44.8,55.9,96.3,84.3
0.51 – 1.00 ,13,17.7,27.8,17.2,44.1,3.7,13
1.01 – 1.50 ,1.9,29,50,20.9,0,0,0
1.51 – 2.00 ,14.8,11.3,22.2,14.2,0,0,0
2.01 – 2.50 ,3.7,3.2,0,3,0,0,0
2.51 – 3.00 ,0,0,0,0,0,0,0
abundance,54,65,18,137,34,81,115
