substrate,SGR_N,SGR_perc,MWD_N,MWD_perc
silt,14,2.6,1,0.6
sand,104,19.6,157,99.4
gravel,185,34.8,0,0
cobble,218,41.1,0,0
boulder,10,1.9,0,0
