Reach Number,2009_PE,2010_PE,2011_PE,2012_PE,2013_cap,2014_cap,median
,,,,,,,
567,0,113,201,112,14,11,63
568,0,7,132,79,14,7,11
578,8,28,57,57,9,3,19
579,1,21,76,22,11,13,17
584,0,65,40,87,7,6,24
585,0,16,203,51,7,10,13
629,0,10,47,25,2,0,6
630,0,36,77,19,1,0,10
631,0,0,40,17,0,0,0
632,0,1,13,24,5,0,3
708,0,98,22,31,5,0,14
709,0,25,225,54,8,0,17
711,0,88,14,3,1,1,2
712,0,0,75,56,0,0,0
725,0,14,0,0,0,0,0
726,0,23,1,41,0,0,1
929,15,1,21,5,2,0,4
930,7,0,11,7,1,0,4
937,0c,–,–,6,0,0,0
939,0c,–,–,13,0,4,4
965,0c,–,–,1,0,0,0
966,0c,–,–,0,0,0,0
