"","variablename","result","sub_score"
"1","Percent Cobble",22,1
"2","Percent Fines (silts/clay/muck)",7,0
"3","Percent Gravel - coarse",9,1
"4","Percent Gravel - fine",3,0
"5","Percent Concrete/Asphalt",0,0
"6","Percent Sand",11,1
"7","Percent Boulders - small",4,0
"8","Mixed",56,10
