"","variablename","result","sub_score"
"1","Percent Cobble",5,0
"2","Percent Fines (silts/clay/muck)",1,0
"3","Percent Gravel - coarse",36,7
"4","Percent Gravel - fine",34,7
"5","Percent Concrete/Asphalt",0,0
"6","Percent Sand",23,3
"7","Percent Boulders - small",0,0
"8","Mixed",99,15
