"","variablename","result","sub_score"
"1","Percent Cobble",0,0
"2","Percent Fines (silts/clay/muck)",2,0
"3","Percent Gravel - coarse",4,0
"4","Percent Gravel - fine",7,1
"5","Percent Concrete/Asphalt",80,0
"6","Percent Sand",7,1
"7","Percent Boulders - small",0,0
"8","Mixed",20,5
