"","variablename","result","sub_score"
"1","Percent Cobble",10,0
"2","Percent Fines (silts/clay/muck)",1,0
"3","Percent Gravel - coarse",7,1
"4","Percent Gravel - fine",20,1
"5","Percent Concrete/Asphalt",0,0
"6","Percent Sand",37,3
"7","Percent Boulders - small",10,1
"8","Mixed",85,15
