"","variablename","result","sub_score"
"1","Percent Cobble",34,1
"2","Percent Fines (silts/clay/muck)",0,0
"3","Percent Gravel - coarse",31,7
"4","Percent Gravel - fine",8,1
"5","Percent Concrete/Asphalt",0,0
"6","Percent Sand",10,1
"7","Percent Boulders - small",12,1
"8","Mixed",95,15
