"","variablename","result","sub_score"
"1","Percent Cobble",6,0
"2","Percent Fines (silts/clay/muck)",0,0
"3","Percent Gravel - coarse",31,7
"4","Percent Gravel - fine",53,8
"5","Percent Concrete/Asphalt",0,0
"6","Percent Sand",7,1
"7","Percent Boulders - small",3,0
"8","Mixed",100,15
