"","variablename","result","sub_score"
"1","Percent Cobble",19,0
"2","Percent Fines (silts/clay/muck)",0,0
"3","Percent Gravel - coarse",40,7
"4","Percent Gravel - fine",17,1
"5","Percent Concrete/Asphalt",0,0
"6","Percent Sand",20,1
"7","Percent Boulders - small",4,0
"8","Mixed",100,15
