"","variablename","result","sub_score"
"1","Percent Cobble",26,1
"2","Percent Fines (silts/clay/muck)",0,0
"3","Percent Gravel - coarse",2,0
"4","Percent Gravel - fine",0,0
"5","Percent Concrete/Asphalt",42,0
"6","Percent Sand",10,1
"7","Percent Boulders - small",16,1
"8","Mixed",54,10
