"","variablename","result","sub_score"
"1","Percent Cobble",14,0
"2","Percent Fines (silts/clay/muck)",11,0
"3","Percent Gravel - coarse",29,7
"4","Percent Gravel - fine",8,1
"5","Percent Concrete/Asphalt",0,0
"6","Percent Sand",5,1
"7","Percent Boulders - small",13,1
"8","Mixed",80,15
