"","variablename","result","sub_score"
"1","Percent Cobble",2,0
"2","Percent Fines (silts/clay/muck)",21,0
"3","Percent Gravel - coarse",1,0
"4","Percent Gravel - fine",1,0
"5","Percent Concrete/Asphalt",0,0
"6","Percent Sand",59,4
"7","Percent Boulders - small",1,0
"8","Mixed",85,15
