"","variablename","result","sub_score"
"1","Percent Cobble",7,0
"2","Percent Fines (silts/clay/muck)",6,0
"3","Percent Gravel - coarse",8,1
"4","Percent Gravel - fine",39,7
"5","Percent Concrete/Asphalt",0,0
"6","Percent Sand",32,3
"7","Percent Boulders - small",5,1
"8","Mixed",97,15
