"","variablename","result","sub_score"
"1","Percent Cobble",26,1
"2","Percent Fines (silts/clay/muck)",2,0
"3","Percent Gravel - coarse",41,8
"4","Percent Gravel - fine",10,1
"5","Percent Concrete/Asphalt",0,0
"6","Percent Sand",4,0
"7","Percent Boulders - small",12,1
"8","Mixed",95,15
