"","variablename","result","sub_score"
"1","Percent Cobble",13,0
"2","Percent Fines (silts/clay/muck)",1,0
"3","Percent Gravel - coarse",44,8
"4","Percent Gravel - fine",15,1
"5","Percent Concrete/Asphalt",0,0
"6","Percent Sand",14,1
"7","Percent Boulders - small",11,1
"8","Mixed",98,15
