"","variablename","result","sub_score"
"1","Percent Cobble",0,0
"2","Percent Fines (silts/clay/muck)",3,0
"3","Percent Gravel - coarse",0,0
"4","Percent Gravel - fine",0,0
"5","Percent Concrete/Asphalt",86,0
"6","Percent Sand",11,1
"7","Percent Boulders - small",0,0
"8","Mixed",14,0
