"","site","date","sitename","lat","lon","fine_sediment","coarse_sediment","extra_coarse","concrete","total"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","412CE0232","7/16/2015 12:00:00 AM","LAR","34.15916667","-118.4558333",1,0,0,99,100
"3","412CE0232","6/21/2016 12:00:00 AM","LAR","34.15916667","-118.4558333",0,0,0,100,100
"4","412CE0232","5/31/2017 12:00:00 AM","LAR","34.15916667","-118.4558333",1,12,0,88,101
"5","412CE0232","5/30/2018 12:00:00 AM","LAR","34.15916667","-118.4558333",0,0,0,100,100
"6","412CE0232","7/15/2019 12:00:00 AM","LAR","34.15916667","-118.4558333",5,0,0,95,100
"7","412CE0616","7/16/2015 12:00:00 AM","LAR","34.15166667","-118.4280556",0,0,0,100,100
"8","412CE0732","9/2/2015 12:00:00 AM","LAR","34.15583333","-118.3102778",0,0,100,0,100
"9","412M08597","7/16/2015 12:00:00 AM","LAR","34.15524","-118.43907",1,1,0,98,100
"10","412M08599","6/20/2018 12:00:00 AM","LAR","34.10603","-118.24339",10,2,42,42,96
"11","412M08602","9/30/2015 12:00:00 AM","LAR","33.97132","-118.16997",5,3,0,92,100
"12","412M08608","6/2/2016 12:00:00 AM","Bull Creek","34.18543","-118.49769",57,14,10,10,91
"13","412M08615","7/7/2016 12:00:00 AM","LAR","34.14393","-118.34294",0,0,0,100,100
"14","412M08627","5/17/2017 12:00:00 AM","LAR","33.86326","-118.19656",1,0,0,99,100
"15","412M08638","8/16/2017 12:00:00 AM","Arroyo Seco","34.20923","-118.1712",6,73,21,0,100
"16","412M08641","7/9/2019 12:00:00 AM","Big Tujunga Creek","34.30549","-118.06799",38,47,14,0,99
"17","412M08642","6/20/2018 12:00:00 AM","LAR","34.0472","-118.22979",0,0,0,100,100
"18","412M08643","5/23/2018 12:00:00 AM","LAR","33.80841","-118.20559",9,11,0,80,100
"19","412M08647","7/16/2019 12:00:00 AM","Big Tujunga Creek","34.27872","-118.30172",36,37,26,0,99
"20","412PS0040","7/14/2016 12:00:00 AM","Bull Creek","34.26448","-118.48787",0,3,0,97,100
"21","412PS0052","4/25/2017 12:00:00 AM","LAR","34.19528","-118.58727",0,1,0,99,100
"22","412WE0552","8/26/2015 12:00:00 AM","Arroyo Seco","34.23908","-118.1806",23,64,11,1,99
"23","412WE0552","6/8/2016 12:00:00 AM","Arroyo Seco","34.23908","-118.1806",5,83,12,0,100
"24","412WE0552","5/24/2017 12:00:00 AM","Arroyo Seco","34.23908","-118.1806",12,61,25,0,98
"25","412WE0552","8/2/2018 12:00:00 AM","Arroyo Seco","34.23908","-118.1806",14,58,22,0,94
"26","412WE0552","7/23/2019 12:00:00 AM","Arroyo Seco","34.23908","-118.1806",11,59,28,1,99
"27","412WE0896","9/2/2015 12:00:00 AM","Big Tujunga Creek","34.28771","-118.23008",24,11,13,0,48
"28","LALT500","6/22/2009 12:00:00 AM","Rio Hondo","33.936426","-118.171474",3,0,0,97,100
"29","LALT500","7/15/2010 12:00:00 AM","Rio Hondo","33.936426","-118.171474",1,0,0,99,100
"30","LALT500","6/27/2011 12:00:00 AM","Rio Hondo","33.93555","-118.172",2,0,0,97,99
"31","LALT500","6/22/2012 12:00:00 AM","Rio Hondo","33.93555","-118.172",1,0,0,99,100
"32","LALT500","6/20/2013 12:00:00 AM","Rio Hondo","33.93555","-118.172",0,0,0,100,100
"33","LALT500","7/1/2015 12:00:00 AM","Rio Hondo","33.93555","-118.172",3,0,0,97,100
"34","LALT500","7/3/2018 12:00:00 AM","Rio Hondo","33.93555","-118.172",0,0,0,100,100
"35","LALT501","6/22/2009 12:00:00 AM","Arroyo Seco","34.08056","-118.22491",0,0,0,100,100
"36","LALT501","7/15/2010 12:00:00 AM","Arroyo Seco","34.08056","-118.22491",6,0,0,94,100
"37","LALT501","6/27/2011 12:00:00 AM","Arroyo Seco","34.08056","-118.22491",0,0,0,100,100
"38","LALT501","6/21/2012 12:00:00 AM","Arroyo Seco","34.08056","-118.22491",7,0,0,93,100
"39","LALT501","6/19/2013 12:00:00 AM","Arroyo Seco","34.08056","-118.22491",0,0,0,100,100
"40","LALT501","7/1/2015 12:00:00 AM","Arroyo Seco","34.08056","-118.22491",0,0,0,99,99
"41","LALT501","7/3/2018 12:00:00 AM","Arroyo Seco","34.08056","-118.22491",1,0,1,98,100
"42","LALT502","6/22/2009 12:00:00 AM","LAR","33.845293","-118.207841",66,7,28,0,101
"43","LALT502","7/15/2010 12:00:00 AM","LAR","33.845293","-118.207841",63,12,26,0,101
"44","LALT502","6/27/2011 12:00:00 AM","LAR","33.845293","-118.207841",30,16,55,0,101
"45","LALT502","6/22/2012 12:00:00 AM","LAR","33.845293","-118.207841",56,6,38,0,100
"46","LALT502","6/20/2013 12:00:00 AM","LAR","33.845293","-118.207841",56,4,41,0,101
"47","LALT502","6/27/2018 12:00:00 AM","LAR","33.84622","-118.20922",84,4,12,0,100
"48","LALT503","7/15/2010 12:00:00 AM","Tujunga Wash","34.14691","-118.38932",1,0,0,99,100
"49","LALT503","6/27/2011 12:00:00 AM","Tujunga Wash","34.14691","-118.38932",0,0,0,100,100
"50","LALT503","6/21/2012 12:00:00 AM","Tujunga Wash","34.14691","-118.38932",1,0,0,99,100
"51","LALT503","6/19/2013 12:00:00 AM","Tujunga Wash","34.14691","-118.38932",0,0,0,100,100
"52","LALT503","6/30/2015 12:00:00 AM","Tujunga Wash","34.14691","-118.38932",2,0,0,98,100
"53","LALT503","6/20/2018 12:00:00 AM","Tujunga Wash","34.14691","-118.38932",0,0,0,100,100
"54","SMC00318","6/15/2010 12:00:00 AM","LAR","33.812879","-118.205589",0,8,0,92,100
"55","SMC00318","8/7/2019 12:00:00 AM","LAR","33.812879","-118.205589",2,2,0,96,100
"56","SMC00436","5/26/2009 12:00:00 AM","LAR","34.149","-118.278637",16,0,0,84,100
"57","SMC00436","5/31/2017 12:00:00 AM","LAR","34.149","-118.278637",3,1,0,96,100
"58","SMC00520","5/19/2009 12:00:00 AM","Big Tujunga Creek","34.296261","-118.282527",36,39,23,0,98
"59","SMC00520","8/5/2011 12:00:00 AM","Big Tujunga Creek","34.296261","-118.282527",10,39,46,0,95
"60","SMC00520","6/12/2012 12:00:00 AM","Big Tujunga Creek","34.296261","-118.282527",40,36,23,0,99
"61","SMC00520","8/26/2015 12:00:00 AM","Big Tujunga Creek","34.296261","-118.282527",68,6,15,0,89
"62","SMC00520","6/14/2016 12:00:00 AM","Big Tujunga Creek","34.296261","-118.282527",55,3,11,0,69
"63","SMC00520","4/25/2017 12:00:00 AM","Big Tujunga Creek","34.296261","-118.282527",43,23,24,0,90
"64","SMC00684","6/27/2011 12:00:00 AM","Rio Hondo","34.096982","-118.023739",0,0,0,100,100
"65","SMC00830","6/21/2011 12:00:00 AM","Rio Hondo","33.943059","-118.166062",0,0,0,100,100
"66","SMC00924","6/9/2009 12:00:00 AM","Arroyo Seco","34.223949","-118.18053",14,39,46,0,99
"67","SMC00924","6/20/2011 12:00:00 AM","Arroyo Seco","34.223949","-118.18053",6,51,44,0,101
"68","SMC00924","6/12/2012 12:00:00 AM","Arroyo Seco","34.223949","-118.18053",32,43,14,5,94
"69","SMC00924","6/8/2016 12:00:00 AM","Arroyo Seco","34.223949","-118.18053",7,84,9,0,100
"70","SMC00924","5/24/2017 12:00:00 AM","Arroyo Seco","34.223949","-118.18053",15,59,25,0,99
"71","SMC01004","5/26/2009 12:00:00 AM","Arroyo Seco","34.150162","-118.165792",10,0,0,90,100
"72","SMC01004","7/15/2019 12:00:00 AM","Arroyo Seco","34.150162","-118.165792",14,0,0,86,100
"73","SMC01040","6/9/2009 12:00:00 AM","Big Tujunga Creek","34.305531","-118.157923",13,21,57,0,91
"74","SMC01096","6/7/2010 12:00:00 AM","Big Tujunga Creek","34.284652","-118.293438",28,58,14,0,100
"75","SMC01096","6/14/2016 12:00:00 AM","Big Tujunga Creek","34.284652","-118.293438",80,2,3,0,85
"76","SMC01196","7/14/2010 12:00:00 AM","Big Tujunga Creek","34.278355","-118.029523",24,70,5,0,99
"77","SMC01208","6/8/2010 12:00:00 AM","LAR","34.190155","-118.536509",33,1,0,66,100
"78","SMC01320","6/7/2010 12:00:00 AM","Big Tujunga Creek","34.298564","-118.250823",25,60,16,0,101
"79","SMC01544","7/14/2010 12:00:00 AM","Big Tujunga Creek","34.29729","-118.248435",22,72,7,0,101
"80","SMC01544","6/14/2016 12:00:00 AM","Big Tujunga Creek","34.29729","-118.248435",18,12,26,0,56
"81","SMC01692","6/20/2011 12:00:00 AM","Arroyo Seco","34.197986","-118.169726",18,54,29,0,101
"82","SMC01716","6/8/2010 12:00:00 AM","Bull Creeek","34.207308","-118.497275",0,0,0,100,100
"83","SMC01972","6/7/2010 12:00:00 AM","Bull Creeek","34.240183","-118.495643",0,0,0,100,100
"84","SMC02028","7/12/2012 12:00:00 AM","Arroyo Seco","34.128683","-118.165539",5,0,0,95,100
"85","SMC02088","6/14/2011 12:00:00 AM","Big Tujunga Creek","34.128683","-118.165539",20,57,23,0,100
"86","SMC02088","6/18/2018 12:00:00 AM","Big Tujunga Creek","34.302261","-118.259597",29,18,18,0,65
"87","SMC02092","6/14/2011 12:00:00 AM","Big Tujunga Creek","34.279482","-118.206846",14,57,26,0,97
"88","SMC02092","6/18/2018 12:00:00 AM","Big Tujunga Creek","34.279482","-118.206846",16,37,31,0,84
"89","SMC02228","6/23/2009 12:00:00 AM","LAR","34.069337","-118.224279",1,0,0,99,100
"90","SMC02484","6/5/2013 12:00:00 AM","Tujunga Wash","34.145104","-118.367645",0,0,0,100,100
"91","SMC02568","6/12/2012 12:00:00 AM","Big Tujunga Creek","34.278661","-118.220314",20,33,30,0,83
"92","SMC02568","8/2/2018 12:00:00 AM","Big Tujunga Creek","34.278661","-118.220314",24,24,26,0,74
"93","SMC02622","6/15/2010 12:00:00 AM","LAR","33.897385","-118.186161",0,0,0,100,100
"94","SMC02804","6/20/2011 12:00:00 AM","LAR","34.145341","-118.408663",15,2,0,83,100
"95","SMC03646","6/5/2013 12:00:00 AM","LAR","33.9784","-118.169105",5,0,1,94,100
"96","SMC04532","7/11/2012 12:00:00 AM","LAR","34.155954","-118.287714",5,12,4,79,100
"97","SMC04880","6/6/2012 12:00:00 AM","Big Tujunga Creek","34.308848","-118.09829",21,46,20,0,87
"98","SMC05020","7/15/2013 12:00:00 AM","Arroyo Seco","34.232029","-118.176577",42,38,16,0,96
"99","SMC05640","6/17/2013 12:00:00 AM","Big Tujunga Creek","34.282339","-118.222031",14,28,40,1,83
"100","SMC06044","6/17/2013 12:00:00 AM","Arroyo Seco","34.21452","-118.174132",38,27,20,0,85
