"","variablename","result","sub_score"
"1","Percent Cobble",24,1
"2","Percent Fines (silts/clay/muck)",2,0
"3","Percent Gravel - coarse",14,1
"4","Percent Gravel - fine",25,7
"5","Percent Concrete/Asphalt",0,0
"6","Percent Sand",12,1
"7","Percent Boulders - small",19,1
"8","Mixed",96,15
