"","variablename","result","sub_score"
"1","Percent Cobble",14,0
"2","Percent Fines (silts/clay/muck)",0,0
"3","Percent Gravel - coarse",9,1
"4","Percent Gravel - fine",12,1
"5","Percent Concrete/Asphalt",0,0
"6","Percent Sand",13,1
"7","Percent Boulders - small",33,1
"8","Mixed",81,15
