"","variablename","result","sub_score"
"1","Percent Cobble",27,1
"2","Percent Fines (silts/clay/muck)",0,0
"3","Percent Gravel - coarse",45,8
"4","Percent Gravel - fine",9,1
"5","Percent Concrete/Asphalt",0,0
"6","Percent Sand",18,1
"7","Percent Boulders - small",1,0
"8","Mixed",100,15
