"","variablename","result","sub_score"
"1","Percent Cobble",6,0
"2","Percent Fines (silts/clay/muck)",12,0
"3","Percent Gravel - coarse",5,1
"4","Percent Gravel - fine",9,1
"5","Percent Concrete/Asphalt",10,0
"6","Percent Sand",45,4
"7","Percent Boulders - small",4,0
"8","Mixed",81,15
