"","variablename","result","sub_score"
"1","Percent Cobble",3,0
"2","Percent Fines (silts/clay/muck)",1,0
"3","Percent Gravel - coarse",5,1
"4","Percent Gravel - fine",7,1
"5","Percent Concrete/Asphalt",79,0
"6","Percent Sand",4,0
"7","Percent Boulders - small",1,0
"8","Mixed",21,5
