"","variablename","result","sub_score"
"1","Percent Cobble",15,0
"2","Percent Fines (silts/clay/muck)",13,0
"3","Percent Gravel - coarse",18,1
"4","Percent Gravel - fine",5,1
"5","Percent Concrete/Asphalt",0,0
"6","Percent Sand",30,3
"7","Percent Boulders - small",9,1
"8","Mixed",90,15
