"","variablename","result","sub_score"
"1","Percent Cobble",0,0
"2","Percent Fines (silts/clay/muck)",0,0
"3","Percent Gravel - coarse",9,1
"4","Percent Gravel - fine",3,1
"5","Percent Concrete/Asphalt",88,0
"6","Percent Sand",1,1
"7","Percent Boulders - small",0,1
