"","variablename","result","sub_score"
"1","Percent Cobble",14,0
"2","Percent Fines (silts/clay/muck)",0,0
"3","Percent Gravel - coarse",43,8
"4","Percent Gravel - fine",14,1
"5","Percent Concrete/Asphalt",0,0
"6","Percent Sand",14,1
"7","Percent Boulders - small",5,1
"8","Mixed",90,15
