"","variablename","result","sub_score"
"1","Percent Cobble",10,0
"2","Percent Fines (silts/clay/muck)",50,0
"3","Percent Gravel - coarse",7,1
"4","Percent Gravel - fine",0,0
"5","Percent Concrete/Asphalt",0,0
"6","Percent Sand",16,1
"7","Percent Boulders - small",6,1
"8","Mixed",89,15
