"","variablename","result","sub_score"
"1","Percent Cobble",20,0
"2","Percent Fines (silts/clay/muck)",9,0
"3","Percent Gravel - coarse",18,1
"4","Percent Gravel - fine",19,1
"5","Percent Concrete/Asphalt",0,0
"6","Percent Sand",27,3
"7","Percent Boulders - small",6,1
"8","Mixed",99,15
