"","variablename","result","sub_score"
"1","Percent Cobble",5,0
"2","Percent Fines (silts/clay/muck)",0,0
"3","Percent Gravel - coarse",16,1
"4","Percent Gravel - fine",27,7
"5","Percent Concrete/Asphalt",5,0
"6","Percent Sand",32,3
"7","Percent Boulders - small",9,1
"8","Mixed",89,15
