"","variablename","result","sub_score"
"1","Percent Cobble",12,0
"2","Percent Fines (silts/clay/muck)",2,0
"3","Percent Gravel - coarse",20,1
"4","Percent Gravel - fine",4,0
"5","Percent Concrete/Asphalt",0,0
"6","Percent Sand",22,3
"7","Percent Boulders - small",11,1
"8","Mixed",71,15
